team	season	competition	number	name	position	games_played	goals	assists	points	nationality
Cleveland Force	1986-1987	Major Indoor Soccer League (1978-1992)	21	Alex Tarnoczi	F/M	2	0	0	0	Hungary
Cleveland Force	1986-1987	Major Indoor Soccer League (1978-1992)	22	Andy Schmetzer	F	18	1	4	5	USA
Cleveland Force	1986-1987	Major Indoor Soccer League (1978-1992)	24	P.J. Johns	G	24	 	 	 	USA
Cleveland Force	1986-1987	Major Indoor Soccer League (1978-1992)	26	Joe Raduka	D	19	3	2	5	Yugoslavia/Canada
Cleveland Force	1987-1988	Major Indoor Soccer League (1978-1992)	2	Desmond Armstrong	D	50	11	21	32	USA
Cleveland Force	1987-1988	Major Indoor Soccer League (1978-1992)	3	Dennis Mepham	D	36	11	10	21	USA
Cleveland Force	1987-1988	Major Indoor Soccer League (1978-1992)	4	Walter Schmetzer	M	32	2	3	5	USA
Cleveland Force	1987-1988	Major Indoor Soccer League (1978-1992)	5	Francis Okaroh	D	 	 	 	 	Nigeria
Cleveland Force	1987-1988	Major Indoor Soccer League (1978-1992)	6	Rui Felgueira	F	 	 	 	 	Portugal
Cleveland Force	1987-1988	Major Indoor Soccer League (1978-1992)	7	Paul Kitson	F	 	 	 	 	England/USA
Cleveland Force	1987-1988	Major Indoor Soccer League (1978-1992)	8	Brian Bliss	D	51	4	4	8	USA
Cleveland Force	1987-1988	Major Indoor Soccer League (1978-1992)	9	Ali Kazemaini	F	29	14	10	24	Iran
Cleveland Force	1987-1988	Major Indoor Soccer League (1978-1992)	10	Carl Valentine	F	32	24	13	37	England/Canada
Cleveland Force	1987-1988	Major Indoor Soccer League (1978-1992)	11	Gino DiFlorio	F	53	22	22	44	Italy/Canada
Cleveland Force	1987-1988	Major Indoor Soccer League (1978-1992)	12	Kai Haaskivi	M	39	15	38	53	Finland
Cleveland Force	1987-1988	Major Indoor Soccer League (1978-1992)	13	Michael King	D	56	18	6	24	England
Cleveland Force	1987-1988	Major Indoor Soccer League (1978-1992)	14	Pasquale DeLuca	D	48	13	15	28	Canada
Cleveland Force	1987-1988	Major Indoor Soccer League (1978-1992)	15	Benny Dargle	D	56	5	5	10	England/USA
Cleveland Force	1987-1988	Major Indoor Soccer League (1978-1992)	16	Craig Allen	F	47	41	32	73	England
Cleveland Force	1987-1988	Major Indoor Soccer League (1978-1992)	17	Elias Zurita	F	26	3	1	4	USA
Cleveland Force	1987-1988	Major Indoor Soccer League (1978-1992)	18	Glenn Lurie	F	8	2	1	3	USA
Cleveland Force	1987-1988	Major Indoor Soccer League (1978-1992)	19	John Stollmeyer	D	53	21	10	31	USA
Cleveland Force	1987-1988	Major Indoor Soccer League (1978-1992)	22	Andy Schmetzer	F	42	20	9	29	USA
Cleveland Force	1987-1988	Major Indoor Soccer League (1978-1992)	24	P.J. Johns	G	 	 	 	 	USA
Cleveland Force	1987-1988	Major Indoor Soccer League (1978-1992)	39	Bobby Joe Esposito	F	 	 	 	 	USA
Houston Summit	1978-1979	Major Indoor Soccer League (1978-1992)	1	Paul Hammond	G	17	 	 	 	England
Houston Summit	1978-1979	Major Indoor Soccer League (1978-1992)	2	Ian Anderson	D	21	29	13	42	Scotland
Houston Summit	1978-1979	Major Indoor Soccer League (1978-1992)	3	Mark Stahl	D	23	6	3	9	USA
Houston Summit	1978-1979	Major Indoor Soccer League (1978-1992)	5	Nick Megaloudis	D	22	8	11	19	USA
Houston Summit	1978-1979	Major Indoor Soccer League (1978-1992)	6	Kai Haaskivi	M	22	39	25	64	Finland
Houston Summit	1978-1979	Major Indoor Soccer League (1978-1992)	8	John Stremlau	F	24	16	21	37	USA
Houston Summit	1978-1979	Major Indoor Soccer League (1978-1992)	9	Eduardo Marasco	F	6	2	2	4	Argentina
Houston Summit	1978-1979	Major Indoor Soccer League (1978-1992)	10	Dale Russell	F	18	10	11	21	Bermuda/USA
Houston Summit	1978-1979	Major Indoor Soccer League (1978-1992)	13	Stewart Jump	D	21	21	18	39	England
Houston Summit	1978-1979	Major Indoor Soccer League (1978-1992)	15	Mark Lindsay	F	10	3	4	7	England
Houston Summit	1978-1979	Major Indoor Soccer League (1978-1992)	16	Roland Sikinger	G	8	 	 	 	USA
Houston Summit	1978-1979	Major Indoor Soccer League (1978-1992)	17	Dan Geerling	F	21	1	1	2	USA
Houston Summit	1978-1979	Major Indoor Soccer League (1978-1992)	18	Howie Charbonneau	D	23	4	4	8	USA
Houston Summit	1978-1979	Major Indoor Soccer League (1978-1992)	19	Gerry Morielli	D	19	20	13	33	Italy/Canda
Houston Summit	1978-1979	Major Indoor Soccer League (1978-1992)	20	Matt O'Sullivan	D	24	7	4	11	USA
Houston Summit	1978-1979	Major Indoor Soccer League (1978-1992)	22	Tony Vaccaro	F	21	8	4	12	Italy/Canda
Houston Summit	1978-1979	Major Indoor Soccer League (1978-1992)	23	Ossie Vasquez	F	5	1	0	1	 
Houston Summit	1979-1980	Major Indoor Soccer League (1978-1992)	0	Mick Poole	G	20	 	 	 	England
Houston Summit	1979-1980	Major Indoor Soccer League (1978-1992)	2	Ian Anderson	D	31	26	20	46	Scotland
Houston Summit	1979-1980	Major Indoor Soccer League (1978-1992)	3	Antonio Calvillo	F	7	0	0	0	Mexico/USA
Houston Summit	1979-1980	Major Indoor Soccer League (1978-1992)	4	Neil Cohen	D	27	2	4	6	USA
Houston Summit	1979-1980	Major Indoor Soccer League (1978-1992)	5	Nick Megaloudis	D	13	2	5	7	USA
Houston Summit	1979-1980	Major Indoor Soccer League (1978-1992)	6	Kai Haaskivi	M	27	51	36	87	Finland
Houston Summit	1979-1980	Major Indoor Soccer League (1978-1992)	8	John Stremlau	F	32	23	25	48	USA
Houston Summit	1979-1980	Major Indoor Soccer League (1978-1992)	10	Dale Russell	F	32	28	19	47	Bermuda/USA
Houston Summit	1979-1980	Major Indoor Soccer League (1978-1992)	11	Laurie Milligan	D	8	0	1	1	England
Houston Summit	1979-1980	Major Indoor Soccer League (1978-1992)	12	Jim Pollihan	D	21	12	4	16	USA
Houston Summit	1979-1980	Major Indoor Soccer League (1978-1992)	13	Stewart Jump	D	24	7	17	24	England
Houston Summit	1979-1980	Major Indoor Soccer League (1978-1992)	16	Skip Grossman	G	1	 	 	 	USA
Houston Summit	1979-1980	Major Indoor Soccer League (1978-1992)	17	Dan Geerling	F	32	1	4	5	USA
Houston Summit	1979-1980	Major Indoor Soccer League (1978-1992)	19	Gerry Morielli	D	32	16	14	30	Italy/Canda
Houston Summit	1979-1980	Major Indoor Soccer League (1978-1992)	20	Matt O'Sullivan	D	5	0	0	0	USA
Houston Summit	1979-1980	Major Indoor Soccer League (1978-1992)	21	Charlie DeLong	D	26	0	1	1	USA
Houston Summit	1979-1980	Major Indoor Soccer League (1978-1992)	22	Tony Vaccaro	F	28	3	2	5	Italy/Canada
Houston Summit	1979-1980	Major Indoor Soccer League (1978-1992)	24	Seppo Pykko	F	9	5	1	6	Finland
Houston Summit	1979-1980	Major Indoor Soccer League (1978-1992)	25	Sepp Gantenhammer	G	14	 	 	 	USA
Houston Summit	1979-1980	Major Indoor Soccer League (1978-1992)	30	Franz Krauthausen	M	10	3	2	5	Germany
Houston Summit	1979-1980	Major Indoor Soccer League (1978-1992)	32	Tony Mungioli	D	7	0	1	1	Venezuela/USA
Houston Summit	1979-1980	Major Indoor Soccer League (1978-1992)	 	Greg Delgado	D	11	0	0	0	USA
Houston Summit	1979-1980	Major Indoor Soccer League (1978-1992)	 	Nick Mangione	M	9	3	3	6	USA
New York Arrows	1978-1979	Major Indoor Soccer League (1978-1992)	1	Shep Messing	G	22	 	 	 	USA
New York Arrows	1978-1979	Major Indoor Soccer League (1978-1992)	2	Sergio Iannucelli	F	3	0	1	1	Canada
New York Arrows	1978-1979	Major Indoor Soccer League (1978-1992)	3	Craig Reynolds	D	23	9	11	20	USA
New York Arrows	1978-1979	Major Indoor Soccer League (1978-1992)	4	Renato Cila	D	12	5	6	11	Brazil
New York Arrows	1978-1979	Major Indoor Soccer League (1978-1992)	5	Hugh Creaney	F	16	8	7	15	Scotland/Canada
New York Arrows	1978-1979	Major Indoor Soccer League (1978-1992)	6	Tibor Molnar	F	20	15	8	23	Hungary/Canada
New York Arrows	1978-1979	Major Indoor Soccer League (1978-1992)	7	Steve Zungul	F	18	43	25	68	Yugoslavia
New York Arrows	1978-1979	Major Indoor Soccer League (1978-1992)	8	Luis Alberto	F	14	3	6	9	Argentina
New York Arrows	1978-1979	Major Indoor Soccer League (1978-1992)	9	Chico Baylon	F	9	4	7	11	Peru
New York Arrows	1978-1979	Major Indoor Soccer League (1978-1992)	9	John Nusum	D	13	2	4	6	Bermuda
New York Arrows	1978-1979	Major Indoor Soccer League (1978-1992)	10	Mario Garcia	F	12	5	7	12	Argentina/USA
New York Arrows	1978-1979	Major Indoor Soccer League (1978-1992)	12	Peter Duerden	D	4	0	1	1	Canada
New York Arrows	1978-1979	Major Indoor Soccer League (1978-1992)	14	Doug Pollard	D	17	8	3	11	Canada
New York Arrows	1978-1979	Major Indoor Soccer League (1978-1992)	15	Pat Ercoli	F	21	18	13	31	Canada
New York Arrows	1978-1979	Major Indoor Soccer League (1978-1992)	16	Jim McLoughlin	D	14	0	0	0	England/Canada
New York Arrows	1978-1979	Major Indoor Soccer League (1978-1992)	17	Jim Pollihan	D	23	10	12	22	USA
New York Arrows	1978-1979	Major Indoor Soccer League (1978-1992)	18	Enzo DiPede	G	10	 	 	 	Canada
New York Arrows	1978-1979	Major Indoor Soccer League (1978-1992)	19	Andrea Puzo	G	 	 	 	 	 
New York Arrows	1978-1979	Major Indoor Soccer League (1978-1992)	20	Branko Segota	F	21	25	22	47	Yugoslavia/Canada
New York Arrows	1978-1979	Major Indoor Soccer League (1978-1992)	22	Damir Sutevski	M	12	13	7	20	Yugoslavia
New York Arrows	1978-1979	Major Indoor Soccer League (1978-1992)	2,11	Carl Rose	D	22	4	3	7	England/Canada
New York Arrows	1978-1979	Major Indoor Soccer League (1978-1992)	 	Mike Farebrother	F	 	 	 	 	USA
New York Arrows	1978-1979	Major Indoor Soccer League (1978-1992)	 	Peter Roe	M	4	1	2	3	England/Canada
New York Arrows	1978-1979	Major Indoor Soccer League (1978-1992)	 	Ibraim Silva	 	2	0	0	0	Portugal
New York Arrows	1979-1980	Major Indoor Soccer League (1978-1992)	1	Shep Messing	G	32	 	 	 	USA
New York Arrows	1979-1980	Major Indoor Soccer League (1978-1992)	2	Dave D'Errico	D	31	3	13	16	USA
New York Arrows	1979-1980	Major Indoor Soccer League (1978-1992)	3	Laszlo Harsanyi	D	28	14	10	24	Hungary
New York Arrows	1979-1980	Major Indoor Soccer League (1978-1992)	4	Renato Cila	D	28	3	4	7	Brazil
New York Arrows	1979-1980	Major Indoor Soccer League (1978-1992)	5	Bob O'Leary	M	1	0	0	0	USA
New York Arrows	1979-1980	Major Indoor Soccer League (1978-1992)	5	Ray Vigliotti	D	7	0	1	1	USA
New York Arrows	1979-1980	Major Indoor Soccer League (1978-1992)	6	Tibor Molnar	F	32	13	14	27	Hungary/Canada
New York Arrows	1979-1980	Major Indoor Soccer League (1978-1992)	7	Steve Zungul	F	32	90	46	136	Yugoslavia
New York Arrows	1979-1980	Major Indoor Soccer League (1978-1992)	8	Luis Alberto	F	31	22	21	43	Argentina
New York Arrows	1979-1980	Major Indoor Soccer League (1978-1992)	9	John Nusum	D	3	2	0	2	Bermuda
New York Arrows	1979-1980	Major Indoor Soccer League (1978-1992)	10	Julie Veee	F	26	29	35	64	Hungary
New York Arrows	1979-1980	Major Indoor Soccer League (1978-1992)	11	Ade Coker	F	15	7	7	14	Nigeria
New York Arrows	1979-1980	Major Indoor Soccer League (1978-1992)	12	Al Trost	D	27	3	6	9	USA
New York Arrows	1979-1980	Major Indoor Soccer League (1978-1992)	13	Gene Strenicer	D	30	5	17	22	Hungary/Canada
New York Arrows	1979-1980	Major Indoor Soccer League (1978-1992)	14	Doug Pollard	D	26	3	2	5	Canada
New York Arrows	1979-1980	Major Indoor Soccer League (1978-1992)	15	Wolfgang Suhnholz	F	-	-	-	-	Germany
New York Arrows	1979-1980	Major Indoor Soccer League (1978-1992)	16	Jim McLoughlin	D	23	4	0	4	England/Canada
New York Arrows	1979-1980	Major Indoor Soccer League (1978-1992)	18	Peter Duerden	G	11	 	 	 	Canada
New York Arrows	1979-1980	Major Indoor Soccer League (1978-1992)	19	Len Renery	D	7	0	0	0	England/USA
New York Arrows	1979-1980	Major Indoor Soccer League (1978-1992)	20	Branko Segota	F	31	55	31	86	Yugoslavia/Canada
New York Arrows	1979-1980	Major Indoor Soccer League (1978-1992)	21	Val Tuksa	D	32	11	9	20	Yugoslavia
New York Arrows	1979-1980	Major Indoor Soccer League (1978-1992)	22	Damir Sutevski	M	30	32	26	58	Yugoslavia
New York Arrows	1979-1980	Major Indoor Soccer League (1978-1992)	 	Andy Sobolewski	F	-	-	-	-	Poland/USA
New York Arrows	1980-1981	Major Indoor Soccer League (1978-1992)	1	Shep Messing	G	27	 	 	 	USA
New York Arrows	1980-1981	Major Indoor Soccer League (1978-1992)	2	Dave D'Errico	D	35	2	5	7	USA
New York Arrows	1980-1981	Major Indoor Soccer League (1978-1992)	3	Les Cmikiewicz	F	6	1	2	3	Poland
New York Arrows	1980-1981	Major Indoor Soccer League (1978-1992)	3	Dragan Nikitovic	 	20	9	4	13	Yugoslavia
New York Arrows	1980-1981	Major Indoor Soccer League (1978-1992)	4	Renato Cila	D	40	8	13	21	Brazil
New York Arrows	1980-1981	Major Indoor Soccer League (1978-1992)	5	Ray Vigliotti	D	25	2	1	3	USA
New York Arrows	1980-1981	Major Indoor Soccer League (1978-1992)	6	Tibor Molnar	F	22	5	4	9	Hungary/Canada
New York Arrows	1980-1981	Major Indoor Soccer League (1978-1992)	6	Mark Peckham	D	2	0	0	0	England
New York Arrows	1980-1981	Major Indoor Soccer League (1978-1992)	7	Steve Zungul	F	40	108	44	152	Yugoslavia
New York Arrows	1980-1981	Major Indoor Soccer League (1978-1992)	8	Luis Alberto	F	37	24	36	60	Argentina
New York Arrows	1980-1981	Major Indoor Soccer League (1978-1992)	9	Carmine Marcantonio	M	36	4	6	10	Canada
New York Arrows	1980-1981	Major Indoor Soccer League (1978-1992)	10	Mike Uremovich	D	33	2	4	6	Yugoslavia
New York Arrows	1980-1981	Major Indoor Soccer League (1978-1992)	11	Zoltan Toth	G	22	 	 	 	Hungary
New York Arrows	1980-1981	Major Indoor Soccer League (1978-1992)	12	Gerald Celestin	F	8	1	0	1	Haiti/USA
New York Arrows	1980-1981	Major Indoor Soccer League (1978-1992)	13	Ibraim Silva	D	34	4	6	10	Hungary/Canada
New York Arrows	1980-1981	Major Indoor Soccer League (1978-1992)	15	Peter Jianette	F	 	 	 	 	USA
New York Arrows	1980-1981	Major Indoor Soccer League (1978-1992)	16	Frantz St. Lot	M	34	6	1	7	Haiti
New York Arrows	1980-1981	Major Indoor Soccer League (1978-1992)	17	Nick Megaloudis	D	38	1	9	10	USA
New York Arrows	1980-1981	Major Indoor Soccer League (1978-1992)	18	Fred Grgurev	F	37	44	25	69	Yugoslavia/USA
New York Arrows	1980-1981	Major Indoor Soccer League (1978-1992)	19	George Kataklidis	D	11	1	2	3	Greece/Canada
New York Arrows	1980-1981	Major Indoor Soccer League (1978-1992)	20	Branko Segota	F	35	38	35	73	Yugoslavia/Canada
New York Arrows	1980-1981	Major Indoor Soccer League (1978-1992)	21	Val Tuksa	D	40	9	20	29	Yugoslavia
New York Arrows	1980-1981	Major Indoor Soccer League (1978-1992)	22	Damir Sutevski	M	40	21	15	36	Yugoslavia/Canada
New York Arrows	1980-1981	Major Indoor Soccer League (1978-1992)	 	Nick Mijatovic	D	1	0	1	1	Yugoslavia
New York Arrows	1981-1982	Major Indoor Soccer League (1978-1992)	1	Shep Messing	G	27	 	 	 	USA
New York Arrows	1981-1982	Major Indoor Soccer League (1978-1992)	2	Dave D'Errico	D	26	0	2	2	USA
New York Arrows	1981-1982	Major Indoor Soccer League (1978-1992)	3	Juan Carlos Michia	D	43	3	10	13	Argentina
New York Arrows	1981-1982	Major Indoor Soccer League (1978-1992)	4	Renato Cila	D	38	8	14	22	Brazil
New York Arrows	1981-1982	Major Indoor Soccer League (1978-1992)	5	Nick Megaloudis	D	27	2	4	6	USA
New York Arrows	1981-1982	Major Indoor Soccer League (1978-1992)	6	Billy Gazonas	M	37	16	12	28	USA
New York Arrows	1981-1982	Major Indoor Soccer League (1978-1992)	7	Steve Zungul	F	40	103	60	163	Yugoslavia
New York Arrows	1981-1982	Major Indoor Soccer League (1978-1992)	8	Luis Alberto	F	16	11	12	23	Argentina
New York Arrows	1981-1982	Major Indoor Soccer League (1978-1992)	9	Omar Gomez	M	40	40	36	76	Argentina
New York Arrows	1981-1982	Major Indoor Soccer League (1978-1992)	9	Alex Tarnoczi	F	8	1	0	1	Hungary
New York Arrows	1981-1982	Major Indoor Soccer League (1978-1992)	10	Mark Liveric	F	41	29	21	50	 Yugoslavia/USA
New York Arrows	1981-1982	Major Indoor Soccer League (1978-1992)	11	Zoltan Toth	G	17	 	 	 	Hungary
New York Arrows	1981-1982	Major Indoor Soccer League (1978-1992)	13	Ibraim Silva	D	44	7	8	15	Hungary/Canada
New York Arrows	1981-1982	Major Indoor Soccer League (1978-1992)	14	Fernando Clavijo	D	22	2	2	4	Uruguay
New York Arrows	1981-1982	Major Indoor Soccer League (1978-1992)	15	Peter Jianette	F	 	 	 	 	USA
New York Arrows	1981-1982	Major Indoor Soccer League (1978-1992)	16	Paul Kitson	F	38	33	21	54	England
New York Arrows	1981-1982	Major Indoor Soccer League (1978-1992)	17	Frantz St. Lot	M	26	8	7	15	Haiti
New York Arrows	1981-1982	Major Indoor Soccer League (1978-1992)	18	Michael Collins	D	4	0	0	0	USA
New York Arrows	1981-1982	Major Indoor Soccer League (1978-1992)	19	George Kataklidis	D	24	0	4	4	Greece/Canada
New York Arrows	1981-1982	Major Indoor Soccer League (1978-1992)	20	Dragan Simic	M	24	7	9	16	Yugoslavia
New York Arrows	1981-1982	Major Indoor Soccer League (1978-1992)	21	Val Tuksa	D	44	12	21	33	Yugoslavia
New York Arrows	1981-1982	Major Indoor Soccer League (1978-1992)	22	Julie Hegyi	F	8	1	3	4	Hungary
New York Arrows	1981-1982	Major Indoor Soccer League (1978-1992)	 	Dragan Nikitovic	 	33	13	6	19	Yugoslavia
New York Arrows	1981-1982	Major Indoor Soccer League (1978-1992)	 	Mike Rejevac	 	11	1	3	4	 
New York Arrows	1982-1983	Major Indoor Soccer League (1978-1992)	1	Shep Messing	G	24	 	 	 	USA
New York Arrows	1982-1983	Major Indoor Soccer League (1978-1992)	3	Juan Carlos Michia	D	44	5	11	16	Argentina
New York Arrows	1982-1983	Major Indoor Soccer League (1978-1992)	4	Ringo Cantillo	M	19	3	1	4	Costa Rica/USA
New York Arrows	1982-1983	Major Indoor Soccer League (1978-1992)	5	Claudio Rocha	M	23	5	6	11	Brazil
New York Arrows	1982-1983	Major Indoor Soccer League (1978-1992)	6	Michael Collins	D	37	6	6	12	USA
New York Arrows	1982-1983	Major Indoor Soccer League (1978-1992)	7	Steve Zungul	F	15	28	11	39	Yugoslavia
New York Arrows	1982-1983	Major Indoor Soccer League (1978-1992)	8	Marcelo Ferreira	M	19	0	1	1	Argentina
New York Arrows	1982-1983	Major Indoor Soccer League (1978-1992)	9	Micky Zivaljevic	F	5	0	1	1	Yugoslavia
New York Arrows	1982-1983	Major Indoor Soccer League (1978-1992)	10	Mark Liveric	F	47	39	18	57	 Yugoslavia/USA
New York Arrows	1982-1983	Major Indoor Soccer League (1978-1992)	11	Zoltan Toth	G	27	 	 	 	Hungary
New York Arrows	1982-1983	Major Indoor Soccer League (1978-1992)	12	Nick Megaloudis	D	38	4	8	12	USA
New York Arrows	1982-1983	Major Indoor Soccer League (1978-1992)	13	Val DeSouza	D	22	7	5	12	Brazil
New York Arrows	1982-1983	Major Indoor Soccer League (1978-1992)	14	Fernando Clavijo	D	43	9	11	20	Uruguay
New York Arrows	1982-1983	Major Indoor Soccer League (1978-1992)	15	Peter Jianette	F	 	 	 	 	USA
New York Arrows	1982-1983	Major Indoor Soccer League (1978-1992)	16	Paul Kitson	F	43	39	27	66	England
New York Arrows	1982-1983	Major Indoor Soccer League (1978-1992)	17	Frantz St. Lot	M	41	3	12	15	Haiti
New York Arrows	1982-1983	Major Indoor Soccer League (1978-1992)	18	Fred Grgurev	D	48	36	27	63	Yugoslavia/USA
New York Arrows	1982-1983	Major Indoor Soccer League (1978-1992)	19	George Kataklidis	D	32	0	9	9	Greece/Canada
New York Arrows	1982-1983	Major Indoor Soccer League (1978-1992)	20	Dragan Simic	M	39	11	18	29	Yugoslavia
New York Arrows	1982-1983	Major Indoor Soccer League (1978-1992)	21	Val Tuksa	D	21	13	27	40	Yugoslavia
New York Arrows	1982-1983	Major Indoor Soccer League (1978-1992)	22	Doc Lawson	D	45	5	7	12	Liberia/USA
New York Arrows	1982-1983	Major Indoor Soccer League (1978-1992)	 	Gary Etherington	D	26	6	5	11	England/USA
New York Arrows	1982-1983	Major Indoor Soccer League (1978-1992)	 	Gordon Hill	F	22	10	8	18	England
New York Arrows	1982-1983	Major Indoor Soccer League (1978-1992)	 	Roy Messing	G	1	0	0	0	USA
New York Arrows	1982-1983	Major Indoor Soccer League (1978-1992)	 	Joe Ulrich	D	10	2	2	4	USA
New York Arrows	1983-1984	Major Indoor Soccer League (1978-1992)	1	Shep Messing	G	31	 	 	 	Brazil
New York Arrows	1983-1984	Major Indoor Soccer League (1978-1992)	3	Nick Megaloudis	D	32	2	6	8	USA
New York Arrows	1983-1984	Major Indoor Soccer League (1978-1992)	4	Renato Cila	D	45	2	8	10	Brazil
New York Arrows	1983-1984	Major Indoor Soccer League (1978-1992)	5	Claudio Rocha	M	17	3	9	12	Argentina
New York Arrows	1983-1984	Major Indoor Soccer League (1978-1992)	6	Michael Collins	D	45	16	22	38	Yugoslavia
New York Arrows	1983-1984	Major Indoor Soccer League (1978-1992)	8	Marcelo Ferreira	M	10	1	0	1	Argentina
New York Arrows	1983-1984	Major Indoor Soccer League (1978-1992)	9	Joe Ulrich	D	47	6	5	11	USA
New York Arrows	1983-1984	Major Indoor Soccer League (1978-1992)	10	Mark Liveric	F	48	58	26	84	Brazil
New York Arrows	1983-1984	Major Indoor Soccer League (1978-1992)	11	Zoltan Toth	G	16	 	 	 	Hungary
New York Arrows	1983-1984	Major Indoor Soccer League (1978-1992)	12	Mike Laschev	F	35	25	19	44	Soviet Union/USA
New York Arrows	1983-1984	Major Indoor Soccer League (1978-1992)	13	Roberto DeSouza	F	20	3	0	3	Brazil
New York Arrows	1983-1984	Major Indoor Soccer League (1978-1992)	15	Dave Lischner	F	25	5	3	8	USA
New York Arrows	1983-1984	Major Indoor Soccer League (1978-1992)	17	Ray Vigliotti	D	18	2	2	4	USA
New York Arrows	1983-1984	Major Indoor Soccer League (1978-1992)	18	Fred Grgurev	D	30	28	28	56	Yugoslavia
New York Arrows	1983-1984	Major Indoor Soccer League (1978-1992)	19	Tom Mulroy	D	25	8	2	10	USA
New York Arrows	1983-1984	Major Indoor Soccer League (1978-1992)	20	Dragan Simic	M	42	15	17	32	Yugoslavia
New York Arrows	1983-1984	Major Indoor Soccer League (1978-1992)	21	Val Tuksa	D	46	13	15	28	Yugoslavia
New York Arrows	1983-1984	Major Indoor Soccer League (1978-1992)	22	Doc Lawson	D	33	3	6	9	Liberia/USA
