team	year	number	name	position	games_played	points	minutes	goals	assists	shots	fouls
Westchester Flames	2007	21	Meyer, Kevin	M	7	579	3	3	9	17	5
Westchester Flames	2007	2	Morgan, Evan		7	585	4		8	18	15
Westchester Flames	2007	24	Oelkers, Bryan	D	2	135				1	2
Westchester Flames	2007	14	Pardini, John	D	5	355				3	5
Westchester Flames	2007	1	Pollack, Brett	GK	7	630					
Westchester Flames	2007	18	Prince, Mark		1	45		1	1	1	2
Westchester Flames	2007	5	Sager, Luke	D	16	1350	1		2	1	19
Westchester Flames	2007	12	Sepe, Anthony	M	16	1407				7	29
Westchester Flames	2007	13	Shapiro, Dan	F	6	452	1	3	5	11	6
Westchester Flames	2007	4	Skara, Thomas	D	4	143					2
Westchester Flames	2007	16	Smaldone, Nick		5	361	1	1	3	2	4
Westchester Flames	2007	9	Thompson, Evoud	F	5	346	1		2	7	1
Westchester Flames	2007	23	Tobon, Alex	M	9	534		3	3	4	10
Westchester Flames	2007	9	Trott, Josh	F/M	6	480	5		10	18	5
Westchester Flames	2007	0	Xikis, Emilio (EJ)	GK	10	785					
Westchester Flames	2007	22	Yusuf, Ibrahim	M	8	400	2		4	16	8
Long Island Rough Riders	2007	20	Antoniades, Peter	F	9	537	2	2	6	14	10
Long Island Rough Riders	2007	19	Barberio, Anthony	F/M	13	569	1		2	7	10
Long Island Rough Riders	2007	8	Batista, Jose	M	12	758	2	5	9	12	8
Long Island Rough Riders	2007	18	Bradley, Richard (Rich)	D	12	1013				2	14
Long Island Rough Riders	2007	15	Briggs, Mark	D	5	192				2	5
Long Island Rough Riders	2007	17	Castaneda, Pavelid	D/M	7	538					3
Long Island Rough Riders	2007	10	Cila, Jordan	F	4	276	1	1	3	7	2
Long Island Rough Riders	2007	13	Cruz, Josue	D	10	411				4	8
Long Island Rough Riders	2007	3	Garcia-Torres, Jonathan	M/F	3	111				1	1
Long Island Rough Riders	2007	9	Grella, Mike	F	12	813	5		10	17	7
Long Island Rough Riders	2007	14	Grendi, Alex	M/F	16	1266	3	1	7	23	23
Long Island Rough Riders	2007	11	Hassett, Raymond W.	M/F	6	441	1		2	6	3
Long Island Rough Riders	2007	5	Jolley, Steve	D	10	900	1	1	3	7	2
Long Island Rough Riders	2007	1	Landers, Jason	GK	9	810					1
Long Island Rough Riders	2007	16	Lynch, Martin	D	5	260				2	1
Long Island Rough Riders	2007	2	Martinez, Diego	D	13	954	2		4	3	10
Long Island Rough Riders	2007	12	Martinez, Miguel	M/F	3	27					1
Long Island Rough Riders	2007	21	Melia, Timmy	GK	7	630					
Long Island Rough Riders	2007	7	Palacio, Mike	M/F	11	766	2		4	11	7
Long Island Rough Riders	2007	25	Pardini, John	D							
Long Island Rough Riders	2007	6	Robson, Paul	D	14	1254		2	2	1	15
Long Island Rough Riders	2007	24	Roderick, Paul	F	2	44	1		2		3
Long Island Rough Riders	2007		San Filippo, John Patrick	GK							
Long Island Rough Riders	2007	4	Sullivan, Gary	D	12	1037	2		4	6	13
Long Island Rough Riders	2007	23	Terra, Tadeu	M/F	10	900	3	3	9	21	8
Long Island Rough Riders	2007		Watcher, Drew	F	1	45					2
Long Island Rough Riders	2007	22	Watts, Matthew	D	16	1306		1	1	10	12
Albany Admirals	2007	22	Arteaga, Jhonny		12	849	1		2	13	15
Albany Admirals	2007	16	Binney, Chad		12	311					2
Albany Admirals	2007	15	Blackwell, Steve J		8	238					6
Albany Admirals	2007		Breedlove, Christopher								
Albany Admirals	2007	12	Cardillo, Nicholas A		7	277		1	1	1	6
Albany Admirals	2007	2	Carey, Travis		10	731	4		8	10	7
Albany Admirals	2007	11	Chase, Earl E		6	285		1	1		2
Albany Admirals	2007	9	Clancy, Kyle k		13	815	1		2	5	4
Albany Admirals	2007	14	Clancy, Ryan j		11	851	2		4	12	2
Albany Admirals	2007	4	Dempsey, Corey		10	789				1	7
Albany Admirals	2007	20	Disha, Ilir		1	90					
Albany Admirals	2007	6	DuBois, Adrian J		15	1350				1	13
Albany Admirals	2007	7	Leskow, Justin G		8	675					4
Albany Admirals	2007	21	Lleshi, Dede		2	105				1	1
Albany Admirals	2007	21	Millock, Robert		12	788				3	7
Albany Admirals	2007	3	Narode, Matthew J		15	1350	3		6	13	7
Albany Admirals	2007	17	Pecheone, Matt P		3	138					1
Albany Admirals	2007	4	Ramundo, Jason		6	360					
Albany Admirals	2007	12	Riso, Daniel		8	400		2	2	2	4
Albany Admirals	2007	21	Sgueglia, Peter		15	1217	3	2	8	39	23
Albany Admirals	2007	8	Sgueglia, Rob		16	1340	1		2	5	16
Albany Admirals	2007	26	Shutterworth, Robert		14	1080					
Albany Admirals	2007	19	Stencel, Marc G		10	673				7	16
Albany Admirals	2007	14	Stepanovsky, Kyle K.		4	197					
Albany Admirals	2007	17	Stevens, Daniel (Dan)		8	574	3		6	6	7
Albany Admirals	2007	15	Wiltshire, Allister t		7	293	1		2	6	8
Vermont Voltage	2007	18	Cupac, Bosko		16	1025	1		2	4	5
Vermont Voltage	2007	22	Diallo, Thierno	D/M	11	787					9
Vermont Voltage	2007	19	Gustafson, William	D	7	479				1	7
Vermont Voltage	2007	11	Harlow, Ethan (Robert)	D	2	144					2
Vermont Voltage	2007	0	Hennessey, Steve	GK	16	1440					1
Vermont Voltage	2007	17	Jankovic, Milos	M	15	949	1		2	6	16
Vermont Voltage	2007	7	Jelovac, Bozidar		6	382		2	2	7	5
Vermont Voltage	2007	13	Kauble, Stephen	M	9	445	1		2	2	5
Vermont Voltage	2007	5	Leonard, Brian	D	15	1242		1	1	1	8
Vermont Voltage	2007	2	Macleod, Gavin	D/M	9	97					1
Vermont Voltage	2007	21	Malovic, Marko		14	1062	3	1	7	11	9
Vermont Voltage	2007	8	McCarron, James	M	8	437				1	8
Vermont Voltage	2007	11	Morrow, Ethan	M/F	5	183					1
Vermont Voltage	2007	6	Purser, David	D	12	1044				1	9
Vermont Voltage	2007		Racine, Evan								
Vermont Voltage	2007	10	Simic, Bo	M	5	440	1	1	3	1	4
Vermont Voltage	2007	23	Skoczylas, Blazej	M/D	9	527	1	1	3	3	7
Vermont Voltage	2007	9	Stedman, Matthew	F	16	1384	4	3	11	19	18
Vermont Voltage	2007	20	Szczyployski, Tomas	M/F	12	950	1		2	10	6
Vermont Voltage	2007	4	Van Matre, Justin	D	16	1371				1	9
Vermont Voltage	2007	24	Vuckovic, Bojan (Bo)		13	1092	6	2	14	18	6
Vermont Voltage	2007	16	Wells, Benjamin	M	7	115				1	2
Vermont Voltage	2007	14	Williams, Jonathan	M	12	184				2	1
Ottawa Fury	2007	21	Aldridge, Omari	M	7	460	1		2	4	2
Ottawa Fury	2007	23	Amahazion, FikreJesus	M	16	1421	1		2	11	16
Ottawa Fury	2007	17	Beauge, William	F	16	1287	6		12	20	16
Ottawa Fury	2007	15	Beckett, Jaymes	D	3	172	1		2	2	1
Ottawa Fury	2007	2	Blake, Janson	D	7	415					7
Ottawa Fury	2007	9	Brown, Christopher	F	11	627	1	3	5	12	18
Ottawa Fury	2007	24	Bushiri, Kikunda	M	14	1046					10
Ottawa Fury	2007	4	Casciato, Dominic	D	3	225					3
Ottawa Fury	2007	12	Dasah, Justin	M	13	935	2		4	10	9
Ottawa Fury	2007	22	Davidson, James		2	2					
Ottawa Fury	2007	18	DiBiase, Anthony	M	9	408	1		2	4	10
Ottawa Fury	2007		Edward, Giovanni (Ed)								
Ottawa Fury	2007	5	Edwards, Julien	M							
Ottawa Fury	2007	10	Eja-Tabe, Huffman		8	494				3	18
Ottawa Fury	2007	13	Gagliano, Michael	D	6	215				1	2
Ottawa Fury	2007	22	Gibson, Joseph	GK	2	180					
Ottawa Fury	2007	19	Guiseppi, Sean	M	6	286		1	1	2	9
Ottawa Fury	2007		Heembrock, Brandon	GK							
Ottawa Fury	2007	6	Ilboudo, Kofi	M	15	1231				2	16
Ottawa Fury	2007	25	Kihara Waiganjo, Paul	F	13	686	2		4	12	22
Ottawa Fury	2007	8	Klukowski, Yan	M	16	1439	1	4	6	17	9
Ottawa Fury	2007	7	LeRoy, Adrian	D	14	1041		1	1	4	13
Ottawa Fury	2007	1	Lefebure, Erik	GK	14	1260					
Ottawa Fury	2007	11	Maheu, Samuel	F	11	325				4	5
Ottawa Fury	2007	20	Moran, Joel	M	1	12					
Ottawa Fury	2007	16	Pugh, Gareth								
Ottawa Fury	2007	14	Rigby, Matthew	M							
Ottawa Fury	2007	3	Vickerton, Martin		16	1415	1	1	3	12	10
Ottawa Fury	2007	4	Webber, Graeme		3	90					1
Rhode Island Stingrays	2007	19	Badecki, Dawid	M	8	692		4	4	16	24
Rhode Island Stingrays	2007	4	Bissett, Callum	D	6	511					7
Rhode Island Stingrays	2007	7	Borman, Danleigh	M	6	483				9	6
Rhode Island Stingrays	2007	6	Brackett, Benjamin	D	8	585				1	7
Rhode Island Stingrays	2007	10	Cameron, Geoffrey	M	4	303				9	5
Rhode Island Stingrays	2007	18	Dwyer, Kiel	M/F	8	236	2		4	5	2
Rhode Island Stingrays	2007	1	Ford, Joshua	GK	13	1061					1
Rhode Island Stingrays	2007	12	Fortes, Miguel	D	2	101					4
Rhode Island Stingrays	2007	22	Giraldo, Marlon	M	13	548	1		2	8	11
Rhode Island Stingrays	2007	9	Gonsalves, Jeffery	F	14	1252	10		20	23	17
Rhode Island Stingrays	2007	11	Hernandez, James	F	5	353		2	2	2	4
Rhode Island Stingrays	2007	15	Howerton, Darren	M	8	634				6	6
Rhode Island Stingrays	2007	13	Lopes, Ernesto	M	1	83					3
Rhode Island Stingrays	2007	17	McCormick, Ryan	D	11	675				2	7
Rhode Island Stingrays	2007	21	Mellen, Stephen		8	720				15	15
Rhode Island Stingrays	2007	2	Nolan, John	D	12	739	1		2	3	6
Rhode Island Stingrays	2007	24	Ortiz, Daniel		5	303				2	4
Rhode Island Stingrays	2007	20	Perdomo, Andres		3	243				5	5
Rhode Island Stingrays	2007	8	Pereira, Jonathan (JP)	F	13	1047		1	1	6	19
Rhode Island Stingrays	2007	18	Puerta, Derek	M	14	1246				9	16
Rhode Island Stingrays	2007	23	Rojas, Jefferson	M	15	1350		1	1	5	34
Rhode Island Stingrays	2007	21	Tumicz, Lukasz	M	5	394	2	1	5	7	4
Rhode Island Stingrays	2007	14	Unger, Evan	M	12	705	1		2	3	2
Rhode Island Stingrays	2007	5	Villasenor, Alonso (ZO)	D	8	700		1	1	3	4
Rhode Island Stingrays	2007	16	Weinrebe, Richard		7	332				1	6
Rhode Island Stingrays	2007	0	Wise, Peter	GK	8	466					
Laredo Heat	2007	5	Almack, Jacob	M	14	1039				6	16
Laredo Heat	2007	9	Amador, Abdiel	F	5	69					1
Laredo Heat	2007	16	Blackwell, Silas	F	7	345				2	8
Laredo Heat	2007	1	Cooper, Ryan Duran	GK	15	1314					
Laredo Heat	2007	4	Cruz, Leone (Juan)	D	10	563				2	6
Laredo Heat	2007	11	Fender, Joshua Alexander	F	11	602	5		10	16	6
Laredo Heat	2007	6	Flores, James	M	9	128	2		4	4	1
Laredo Heat	2007	22	Galvan, Daniel	M	15	1347	1		2	7	21
Laredo Heat	2007	20	Garcia, Felix	F	14	534	2		4	18	17
Laredo Heat	2007	10	Ibarra, Juan	M	14	1167	5	5	15	29	12
Laredo Heat	2007	21	Infante, Dionisio (Nicho)	F	13	1047	3		6	17	20
Laredo Heat	2007	23	Macias, Jose	D	6	540					3
Laredo Heat	2007	19	Morales Dominguez, Isaac	M	12	969	2	2	6	19	16
Laredo Heat	2007	14	Moy, Lexton	D	5	53					
Laredo Heat	2007	13	Mulamba, Gregory	M	9	377				2	8
Laredo Heat	2007	7	Ordaz, Carlos	D	5	374					7
Laredo Heat	2007	18	Perez, Yaikel	F	3	115				3	3
Laredo Heat	2007	2	Pinedo, Ilmer	D	1	1					
Laredo Heat	2007	3	Polo, Mario Angel	D							
Laredo Heat	2007	17	Presas-Delgado, Arnoldo	F	3	6					
Laredo Heat	2007	15	Quinones, Raul	M	13	1086				11	16
Laredo Heat	2007	25	Salazar, Christian Alexis	F	2	2					
Laredo Heat	2007	8	Su, Steve	M	12	742		1	1	8	4
Laredo Heat	2007	28	Vallejo, Hector	F	15	1184	4	1	9	17	8
Laredo Heat	2007	27	Vazquez, Julio Cesar	M							
Laredo Heat	2007	29	Vega, Mark	D	14	1210	1		2	6	3
Laredo Heat	2007	0	Zamora, Jorge	GK	3	41					
El Paso Patriots	2007	16	Arreola, Victor	M	7	459				2	6
El Paso Patriots	2007	8	Barrera-Baldenbro, Antonio	M	14	748	1	1	3	11	12
El Paso Patriots	2007	17	Bilbao, Eduardo		5	110				1	1
El Paso Patriots	2007	9	Briones, Jorge	F/F	9	726	2	1	5	17	8
El Paso Patriots	2007	22	Cardiel, Mario	GK/GK							
El Paso Patriots	2007	12	Castaneda, Daniel	M/M	5	131				2	7
El Paso Patriots	2007	15	Castaneda, Fabien	M/M	4	114				3	2
El Paso Patriots	2007	7	Cervantes, Enrique Ivan	M/M	15	968	1	2	4	8	17
El Paso Patriots	2007	24	Chavez, Ariel	M/M	12	543	1		2	6	8
El Paso Patriots	2007	2	Dominguez, Carlos	D/D	8	720				1	13
El Paso Patriots	2007	58	Garcia, Mario	D/D	15	1267		1	1	3	14
El Paso Patriots	2007	32	Griego, Michael	F	7	609	4		8	15	12
El Paso Patriots	2007	21	Lopez, Brit	F/F	4	177				4	7
El Paso Patriots	2007	3	Martinez, Carlos	D/D	10	900	2		4	2	8
El Paso Patriots	2007	4	Martinez, Moises	D/D	4	345				1	11
El Paso Patriots	2007	55	Mercado-Lujan, Salvador		4	270				2	7
El Paso Patriots	2007	22	Meza, Ivan	GK/GK	1	90					
El Paso Patriots	2007	10	Mora, Victor Omar	F/F	15	1237	3	2	8	22	18
El Paso Patriots	2007	19	Moreira, Gerardo	M/M	8	205	1		2	2	2
El Paso Patriots	2007	13	Moreno, Adrian	D/D	7	410					2
El Paso Patriots	2007	11	Morin, Rodrigo	M/M	11	791	1	2	4	6	19
El Paso Patriots	2007	1	Muniz, Jorge	GK/GK	14	1260					
El Paso Patriots	2007	5	Palacios, Esteban	D	7	547	1		2	1	9
El Paso Patriots	2007	6	Pinedo-Irgoyen, Santiago	M/M	13	1149	1		2	2	29
El Paso Patriots	2007	18	Rodarte, Allan	F/F	2	38				2	1
El Paso Patriots	2007	3	Samano-Contreras, Hugo	D/D	11	978				4	17
El Paso Patriots	2007	23	Valle, Victor	M/M							
DFW Tornados	2007	19	Adibi, Adriel	D	15	1350				6	30
DFW Tornados	2007	21	Botting, Owen	D	15	1194	4		8	22	13
DFW Tornados	2007	15	Bragg, Richard (Cody)		1	84					1
DFW Tornados	2007	25	Brown, Stuart	M	6	146					2
DFW Tornados	2007	13	Chibli, Aaron	M	10	797				3	25
DFW Tornados	2007	3	Clancy, Sean	D	14	1153	1	1	3	16	20
DFW Tornados	2007	4	Clark, Matthew		1	6					
DFW Tornados	2007	9	Da Silva, Paulo	F	8	360				10	4
DFW Tornados	2007	23	Densk, Jeff	D	8	326	1	1	3	2	3
DFW Tornados	2007	5	Doan, Evan	M	9	447		1	1	10	5
DFW Tornados	2007	7	Doan, Tuan	M	2	66					
DFW Tornados	2007	8	Goulding, Jonathan	D	14	999	2		4	7	13
DFW Tornados	2007	10	Guarda, Bruno	M	13	1156	7	2	16	29	28
DFW Tornados	2007	28	Hansen, Mark	GK	1	45					
DFW Tornados	2007	7	Hudson, Keegan	M	5	372				6	4
DFW Tornados	2007	24	Ihemelu, Nnamdi	D	5	249					5
DFW Tornados	2007	0	Ivo, Alex	F/M	4	355		2	2	9	5
DFW Tornados	2007	12	Luna, Alexander	F	1	51				2	1
DFW Tornados	2007	15	Mirsky, Ryan	D	7	556				6	10
DFW Tornados	2007	12	Nabassi, Ouyi	F	3	44				1	1
DFW Tornados	2007	22	Renfro, Stuart	M	3	24				1	
DFW Tornados	2007	15	Richter, Nick	M	1	17					
DFW Tornados	2007	1	Robinson, Stuart	GK	9	666					
DFW Tornados	2007	6	Ross, Christopher	F	10	536		2	2	8	5
DFW Tornados	2007	2	Salvaggione, Chris	F	10	452				8	4
DFW Tornados	2007	31	Sandbo, Steve	GK	1	90					
DFW Tornados	2007	28	Sarber, Brian	GK	9	684				2	1
DFW Tornados	2007	26	Smith, Alexander (Alex)	F	6	442	3		6	19	5
DFW Tornados	2007	4	Sweetser, Cole	F	13	645	2		4	9	6
DFW Tornados	2007	20	Uremovich, Michael	M	4	317	1		2	5	2
DFW Tornados	2007	14	Uriarte, Jon	D	12	445	1		2	5	9
DFW Tornados	2007	27	Vaughn, Christopher (Chris)	D	8	644				2	4
DFW Tornados	2007	11	Vedral, Dillon	M	9	716				2	10
DFW Tornados	2007	18	Villarreal, Ernest	F	4	29					
DFW Tornados	2007	16	White, Kevin	D	8	412				1	3
Mississippi Brilla	2007	0	Douglas, James (Tripp)	GK							
Mississippi Brilla	2007	0	Goodlett, Michael	GK	6	540					
Mississippi Brilla	2007	1	Ueltschey, Michael	GK	2	180					
Mississippi Brilla	2007	2	Lynn, Jordan	M	14	567	2	1	5	9	6
Mississippi Brilla	2007	3	Roberts, Justin	D	13	673				2	5
Mississippi Brilla	2007	4	Beck, Austin	F/D	1	3					
Mississippi Brilla	2007	5	Harkins, Thomas (Tripp)	M	15	1126	1	3	5	12	7
Mississippi Brilla	2007	6	Brooks, Alandus	M	3	47				1	
Mississippi Brilla	2007	7	Lawrence, Henry	D	9	324	2	1	5	10	6
Mississippi Brilla	2007	8	Babba, Paul	M/F	4	111	1		2	4	
Mississippi Brilla	2007	9	Conceicão, Bruno	F	4	270				5	3
Mississippi Brilla	2007	10	Coulibaly, Ousmane	M	12	936	4	1	9	21	10
Mississippi Brilla	2007	11	Demmin, Dwyane	M/D	16	1440	2		4	10	20
Mississippi Brilla	2007	12	Armstrong, Keith	D	15	1294	2		4	12	13
Mississippi Brilla	2007	13	Rash, Chris	F	9	95	1	3	5	4	1
Mississippi Brilla	2007	14	Brown, Michael	D	16	1440	1		2	17	19
Mississippi Brilla	2007	15	Makinson, Stuart	M	6	62					1
Mississippi Brilla	2007	16	Buffington, Phillip	F	9	601	4	2	10	25	4
Mississippi Brilla	2007	17	Moore, Bryson O.	M	4	218		1	1	1	2
Mississippi Brilla	2007	18	Ochan, Robert	D	11	926				1	5
Mississippi Brilla	2007	19	Lilly, David	M/D	15	1327	4	2	10	20	27
Mississippi Brilla	2007	20	Williamson, Lee	M	1	15					
Mississippi Brilla	2007	21	Lawrence, Jacob	D	12	937		2	2	10	17
Mississippi Brilla	2007	22	Fode, Jordan	GK	2	135					
Mississippi Brilla	2007	23	Usry, Micah	D	8	639				2	13
Mississippi Brilla	2007	24	Prather, Barry M.	F	1	20					
Mississippi Brilla	2007	1	Austin, David	GK	7	585					1
Mississippi Brilla	2007		Avila, Aaron A.	M	2	105				1	
Mississippi Brilla	2007	9	Gledhill, James (Gleddy)	F	12	907	6	2	14	23	20
Mississippi Brilla	2007		Curley, Kevin	M	1	75				1	
Mississippi Brilla	2007		Rives, Ricky	M	2	78		1	1		5
Mississippi Brilla	2007		Walker, Matthew	D	4	113					
Mississippi Brilla	2007		Wilcox, Kyle	M/D	1	64					
New Orleans Jesters	2007	1	Brim, Dustyn		15	1350		1	1		
New Orleans Jesters	2007	23	Chagnard, Brandon		9	695	4	2	10	21	5
New Orleans Jesters	2007	2	Couvillion, Joshua (Josh)		11	839	3		6	15	12
New Orleans Jesters	2007	20	Davies, Jamie Lee		14	1179	3	6	12	23	18
New Orleans Jesters	2007	5	Denuna, Edward (Chris)		8	391					4
New Orleans Jesters	2007	6	Duncan, Forrest Stephen		11	650				4	13
New Orleans Jesters	2007	18	Gold, Adam		14	901				8	13
New Orleans Jesters	2007	7	Gonzalez, Oscar		3	33	1		2	1	1
New Orleans Jesters	2007	4	Grey, Dean		8	164				2	4
New Orleans Jesters	2007	12	Grothe, Luke		4	23					1
New Orleans Jesters	2007	8	Hayers, Stuart J		16	1440		1	1	10	22
New Orleans Jesters	2007	0	Howell, Justin								
New Orleans Jesters	2007	10	Hughes, Brian (Sparky)		8	327	2		4	3	5
New Orleans Jesters	2007	9	Kee, Peter (PJ)		13	1129	2	2	6	36	34
New Orleans Jesters	2007		Kelso, Matthew		2	121	1		2	3	2
New Orleans Jesters	2007	16	Lambert, Nick		10	870				3	24
New Orleans Jesters	2007	11	Medlock, Steven		8	541	1		2	8	6
New Orleans Jesters	2007	0	Mince, Fred		1	90					
New Orleans Jesters	2007	7	Portillo, Josey A		3	186				2	3
New Orleans Jesters	2007	22	Quinn, Gerard (Ged)		14	1239	5	1	11	13	12
New Orleans Jesters	2007	13	Ray, Gino R		15	1104	4	3	11	20	14
New Orleans Jesters	2007	21	Tyburski, Luke		9	676	1	1	3	7	13
New Orleans Jesters	2007	19	Webb, Gannon		16	1214				4	14
New Orleans Jesters	2007	15	Westlake, Lea S		3	140				1	2
New Orleans Jesters	2007	14	Wilkinson, Mathew		8	246				3	5
New Orleans Jesters	2007	17	Wooley, Jared T		6	210	1	1	3	5	2
Baton Rouge Capitals	2007	4	Arnold, Christopher		9	695	3	1	7	12	12
Baton Rouge Capitals	2007	24	Austin, Jude		2	159					1
Baton Rouge Capitals	2007	10	Bagayoko, William	D/M	5	216					3
Baton Rouge Capitals	2007	18	Belfour, Joey	D/M	15	1350				2	17
Baton Rouge Capitals	2007	17	Blanche, Thomas (Carter)	M	1	62					2
Baton Rouge Capitals	2007	8	Boh, Chad	D/M	10	309				2	3
Baton Rouge Capitals	2007	1	Boudreaux, Andre		8	720					
Baton Rouge Capitals	2007	5	Carnovale, Greg	M	3	8					
Baton Rouge Capitals	2007	14	Gautreau, Jarret		13	1046	2		4	10	19
Baton Rouge Capitals	2007	20	Goldie, Adam		8	385				3	10
Baton Rouge Capitals	2007	2	Heine, Ryan		10	504				5	8
Baton Rouge Capitals	2007	13	Hunt, John		3	63					3
Baton Rouge Capitals	2007	9	Judice, Anthony (Tony)		16	1233	5	4	14	22	11
Baton Rouge Capitals	2007	4	Judice, Frank		12	965	1		2	3	8
Baton Rouge Capitals	2007	9	Lapira, Joseph	F/M	7	563	3	1	7	22	1
Baton Rouge Capitals	2007	5	Maret, Corey		12	840		2	2	18	13
Baton Rouge Capitals	2007	11	Mingo, Robert		1	90					
Baton Rouge Capitals	2007	12	Miranda, Jake	M	9	374					1
Baton Rouge Capitals	2007	5	Mullins, Patrick		5	198	1		2	5	7
Baton Rouge Capitals	2007	14	Parker, Fred		7	59				4	4
Baton Rouge Capitals	2007		Pervis, Jesse								
Baton Rouge Capitals	2007	15	Peters, Ferman (Anthony (Antony)	F	7	568				7	15
Baton Rouge Capitals	2007	20	Picou, Shawn		9	685	2	3	7	17	17
Baton Rouge Capitals	2007	3	Reine, Ben (BJ)	M/F	15	1275	2		4	9	7
Baton Rouge Capitals	2007	13	Retif, Ryan	F	1	3					
Baton Rouge Capitals	2007	11	Richard, Justin		1	45					
Baton Rouge Capitals	2007	16	Robertson, Gregory	D	1	1					
Baton Rouge Capitals	2007	21	Rosman, Scott		6	471					
Baton Rouge Capitals	2007	23	Saboe, Josh	D	16	1423				2	18
Baton Rouge Capitals	2007	6	Simon, Calvin L	M/F	10	687	1		2	9	7
Baton Rouge Capitals	2007	15	Smith, Clinton		4	44					1
Baton Rouge Capitals	2007	7	White, Austin	M	9	592				5	7
Baton Rouge Capitals	2007	1	Winchell, David (Sticks)	GK	1	90					
Austin Lightning	2007	5	Ambrosetti, Alessio		5	269					8
Austin Lightning	2007	9	Barletta, Giovanni		10	849	1		2	17	14
Austin Lightning	2007	21	Bender, Maxwell (Max)		1	10					
Austin Lightning	2007	18	Burki, Ross	F/M	5	262				2	1
Austin Lightning	2007	13	Chandler, Jared		7	454	2		4	10	6
Austin Lightning	2007	3	Cruddas, Jared		9	772				1	9
Austin Lightning	2007	51	Cruz, Christian		3	225				1	6
Austin Lightning	2007	12	Cuero, Diego		6	540				18	7
Austin Lightning	2007	17	Dixit, Vijay		7	319	1		2	3	6
Austin Lightning	2007	17	Elfath, Ismail		1	90				2	
Austin Lightning	2007	1	Gallardo-Aparicio, Miguel		12	1030					
Austin Lightning	2007	26	Hicks, Michael		3	270				1	2
Austin Lightning	2007	24	Jallah, Sylvester		6	461					7
Austin Lightning	2007	2	LeBlanc, Jeffrey		3	270				1	6
Austin Lightning	2007	25	Maddox, Will		6	452					
Austin Lightning	2007	27	Martinez, Aaron		3	270				4	6
Austin Lightning	2007		Mimbela, Derek								
Austin Lightning	2007	10	Mimbela, Jaime		7	448	1		2	4	6
Austin Lightning	2007	22	Neve, Alexander		7	399		1	1	7	7
Austin Lightning	2007	23	Okoro, Chinedu		4	350					5
Austin Lightning	2007	11	Papandrea, Norberto		12	1053		2	2	9	17
Austin Lightning	2007	6	Parras, Brandon		4	247				1	3
Austin Lightning	2007	16	Picos, Alvaro		4	124				1	3
Austin Lightning	2007	19	Prebensen, Aleksander		8	630				4	5
Austin Lightning	2007	0	Sanders, Chris		5	320					1
Austin Lightning	2007	14	Stevenson, Nick		4	170				1	2
Austin Lightning	2007	15	Stoddart, Reynaldo		6	184	1		2	4	4
Austin Lightning	2007	8	Torres, Nicholas (Salome)		10	798	3		6	23	8
Austin Lightning	2007	20	Uriarte, Marcelino		5	450				4	8
Austin Lightning	2007	7	Vega-Borbon, Jorge		13	969	1		2	7	24
Carolina Dynamo	2007	16	Ababio, Eddie	F	14	885	7	1	15	29	10
Carolina Dynamo	2007	20	Adams, Lyle J	D	12	1055	1	1	3	6	5
Carolina Dynamo	2007	3	Adeleye, Ryan		5	212					6
Carolina Dynamo	2007	19	Arnoux, Cody		1	66	2		4	2	1
Carolina Dynamo	2007	28	Barnes, Eric	GK							
Carolina Dynamo	2007	5	Bender, Tim	M	9	342				3	1
Carolina Dynamo	2007	17	Campbell, Robert (Scott)	M	12	737	1		2	13	6
Carolina Dynamo	2007	24	Carrizosa, Luis	M	10	124	1	1	3	3	1
Carolina Dynamo	2007	9	Caugherty, Ryan		4	310				2	2
Carolina Dynamo	2007	6	Cianciarulo, Dominic	M	8	379				2	2
Carolina Dynamo	2007	8	Cisse, El-Hadj	M/F	13	985	5	1	11	24	17
Carolina Dynamo	2007	4	Cronin, Hugh	D	12	1031		2	2		14
Carolina Dynamo	2007	2	Cronin, Sam	M	12	1042	1	5	7	19	14
Carolina Dynamo	2007	1	Edwards, Brian C	GK	10	859					
Carolina Dynamo	2007	11	Franks, Jamie	M	8	556	1	3	5	4	5
Carolina Dynamo	2007	22	Fricke, Robert	M	2	22					1
Carolina Dynamo	2007	9	Jata, Richard	F/M	9	434	3		6	8	6
Carolina Dynamo	2007	23	Johnson, Aaron	GK	5	401					
Carolina Dynamo	2007	13	Lahoud, Michael	F	12	984	5	7	17	22	5
Carolina Dynamo	2007	7	Lewis, Cameron	D	14	1230		1	1	1	12
Carolina Dynamo	2007	12	Loyd, Zach A	M	4	215	1		2	5	1
Carolina Dynamo	2007	14	Mora, Jorge	M	9	308		1	1	4	5
Carolina Dynamo	2007	18	O'Keeffe, Edward (EJ)	D	3	124					2
Carolina Dynamo	2007	3	Rodriguez, David	D	5	359		1	1	5	2
Carolina Dynamo	2007	10	Salinas, Robert (Shea)	M	13	994	7	4	18	19	5
Carolina Dynamo	2007	18	Shriver, Brian P		1	23					1
Carolina Dynamo	2007	21	Wyatt, Jay	F	5	61				2	4
Central Florida Kraze	2007	--	Barcherini, Alessandro	GK/GK	12	1019					
Central Florida Kraze	2007	0	Parra, Doug	GK/GK	4	194					
Central Florida Kraze	2007	1	Williams, Greg R.	GK/GK	3	225					
Central Florida Kraze	2007	23	Taylor, Alejandro (Tony)	F/F	7	590	10	5	25	21	8
Central Florida Kraze	2007	22	Savage, Keith T.	F/F	10	713	8	2	18	17	13
