Player	Team-For	Home-Team	Away-Team	Date	Goal-Time	Goal-Type	Comp	Assist	Assist2	
Braun, Justin	CD Chivas USA	CD Chivas USA	San Jose Earthquakes	4/24/2010	53		LGE	Trujillo, Mariano	Bornstein, Jonathan	
Chijindu, Chukwudi	CD Chivas USA	CD Chivas USA	San Jose Earthquakes	4/24/2010	87		LGE	Lahoud, Michael		
Wondolowski, Chris	San Jose Earthquakes	CD Chivas USA	San Jose Earthquakes	4/24/2010	41	Penalty	LGE			
Beitashour, Steve	San Jose Earthquakes	CD Chivas USA	San Jose Earthquakes	4/24/2010	90		LGE			
Husidic, Baggio	Chicago Fire	Chicago Fire	CD Chivas USA	5/1/2010	52		LGE	Nyarko, Patrick	Pappa, Marco	
Maicon Santos	CD Chivas USA	Chicago Fire	CD Chivas USA	5/1/2010	76		LGE	Kljestan, Sacha		
Padilla Cisneros, Jesus Andres	CD Chivas USA	New England Revolution	CD Chivas USA	5/5/2010	26		LGE	Braun, Justin		
Braun, Justin	CD Chivas USA	New England Revolution	CD Chivas USA	5/5/2010	33		LGE	Trujillo, Mariano		
Padilla Cisneros, Jesus Andres	CD Chivas USA	New England Revolution	CD Chivas USA	5/5/2010	48		LGE	Kljestan, Sacha	Braun, Justin	
Gavin, Blair	CD Chivas USA	New England Revolution	CD Chivas USA	5/5/2010	80		LGE			
Davis, Brad	Houston Dynamo	CD Chivas USA	Houston Dynamo	5/8/2010	3		LGE	Mullan, Brian		
Serioux, Adrian	Houston Dynamo	CD Chivas USA	Houston Dynamo	5/8/2010	8		LGE	Davis, Brad		
Schelotto, Guillermo Barros	Columbus Crew	Columbus Crew	CD Chivas USA	5/15/2010	90	Penalty	LGE			
Braun, Justin	CD Chivas USA	CD Chivas USA	Real Salt Lake	5/22/2010	79		LGE	Saragosa, Marcelo		
Wingert, Chris	Real Salt Lake	CD Chivas USA	Real Salt Lake	5/22/2010	45		LGE			
Espindola, Fabian	Real Salt Lake	CD Chivas USA	Real Salt Lake	5/22/2010	88		LGE			
Najar, Andy	D.C. United	D.C. United	CD Chivas USA	5/29/2010	26		LGE	Wallace, Rodney		
Cristman, Adam	D.C. United	D.C. United	CD Chivas USA	5/29/2010	75		LGE			
Talley, Carey	D.C. United	D.C. United	CD Chivas USA	5/29/2010	89	Penalty	LGE			
Braun, Justin	CD Chivas USA	D.C. United	CD Chivas USA	5/29/2010	15		LGE	Lahoud, Michael		
Galindo, Maykel	CD Chivas USA	D.C. United	CD Chivas USA	5/29/2010	80		LGE	Braun, Justin	Kljestan, Sacha	
Stammler, Seth	New York Red Bulls	New York Red Bulls	CD Chivas USA	6/5/2010	27		LGE			
