Player	Team-For	Home-Team	Away-Team	Date	Goal-Time	Goal-Type	Comp	Assist	Assist2	
Vasquez, Eric	Miami FC	Atlanta Silverbacks	Miami FC	6/2/2007	90		LGE	Mosquera, Nicolas		
Tanzini, Matt	Harrisburg City Islanders	Harrisburg City Islanders	Cleveland City Stars	6/2/2007	65		LGE	Odour, Moffat		
Tanzini, Matt	Harrisburg City Islanders	Harrisburg City Islanders	Cleveland City Stars	6/2/2007	69		LGE			
Schulte, Mark	Cleveland City Stars	Harrisburg City Islanders	Cleveland City Stars	6/2/2007	20		LGE			
Leibbrandt, Ian	Cleveland City Stars	Harrisburg City Islanders	Cleveland City Stars	6/2/2007	28		LGE	Peterson, Andrew		
Paye, Aaron	Minnesota Thunder	Minnesota Thunder	Charleston Battery	6/2/2007	86	Penalty	LGE			
Alvarez, Byron	Charleston Battery	Minnesota Thunder	Charleston Battery	6/2/2007	19		LGE	Alavanja, Lazo		
Alvarez, Byron	Charleston Battery	Minnesota Thunder	Charleston Battery	6/2/2007	75		LGE	Chin, Gordan		
Nweke, Charles	Wilmington Hammerheads	Wilmington Hammerheads	Cincinnati Kings	6/2/2007	20		LGE	MacKenzie, Ross		
Bell, Brian	Wilmington Hammerheads	Wilmington Hammerheads	Cincinnati Kings	6/2/2007	31		LGE	MacKenzie, Ross		
Wilson, Easton	Western Mass Pioneers	Western Mass Pioneers	Richmond Kickers	6/2/2007	45		LGE	Manning, Ahmad		
Deren, Jeff	Western Mass Pioneers	Western Mass Pioneers	Richmond Kickers	6/2/2007	74		LGE	Molinari, Federico		
Gorres, Sascha	Richmond Kickers	Western Mass Pioneers	Richmond Kickers	6/2/2007	9		LGE	McEachron, Trevor		
McEachron, Trevor	Richmond Kickers	Western Mass Pioneers	Richmond Kickers	6/2/2007	22		LGE	Gorres, Sascha		
Villagas-Espana, Petter	Puerto Rico Islanders	Puerto Rico Islanders	Rochester Rhinos	6/3/2007	15		LGE	Zapata, Alberto		
Diallo, Hamed	Rochester Rhinos	Puerto Rico Islanders	Rochester Rhinos	6/3/2007	80		LGE	Martinez, Rey Angel		
Moojen, Frederico	Montreal Impact	Montreal Impact	Minnesota Thunder	6/5/2007	41		LGE			
Bass, Jeremiah	Minnesota Thunder	Montreal Impact	Minnesota Thunder	6/5/2007	90		LGE			
Steede, Kwame	Bermuda Hogges	Bermuda Hogges	Charlotte Eagles	6/6/2007	77		LGE	Peniston, Jared		
Coggins, Jacob	Charlotte Eagles	Bermuda Hogges	Charlotte Eagles	6/6/2007	45		LGE	Swinehart, Dustin		
Coggins, Jacob	Charlotte Eagles	Bermuda Hogges	Charlotte Eagles	6/6/2007	59		LGE	Harvey, Daniel		
Swinehart, Dustin	Charlotte Eagles	Bermuda Hogges	Charlotte Eagles	6/6/2007	74		LGE	Coggins, Jacob		
Spencer, Matthew (Ross)	Charlotte Eagles	Bermuda Hogges	Charlotte Eagles	6/6/2007	90		LGE	Coggins, Jacob		
Morales, Yuri	California Victory	California Victory	Vancouver Whitecaps	6/7/2007	41		LGE	Sanchez, Ricardo		
Bennett, Ian	Charleston Battery	Charleston Battery	Seattle Sounders	6/7/2007	73		LGE			
Knox, Nathan	Seattle Sounders	Charleston Battery	Seattle Sounders	6/7/2007	37		LGE			
Howes, Gregory	Seattle Sounders	Charleston Battery	Seattle Sounders	6/7/2007	50		LGE	Sakuda, Kevin		
Vasquez, Eric	Miami FC	Miami FC	Puerto Rico Islanders	6/7/2007	8	Penalty	LGE			
Gonzalez, Luis (Luichi)	Miami FC	Miami FC	Puerto Rico Islanders	6/7/2007	35		LGE	Oliveira-Filho, Crizam (Zinho)		
Tarley, Duncan (Melvin)	Puerto Rico Islanders	Miami FC	Puerto Rico Islanders	6/7/2007	21		LGE	Gonzalez-Pareja, Alejandro		
Ramirez, Jorge Eduardo	Puerto Rico Islanders	Miami FC	Puerto Rico Islanders	6/7/2007	46		LGE	Gonzalez-Pareja, Alejandro		
