Player	Team-For	Home-Team	Away-Team	Date	Goal-Time	Goal-Type	Comp	Assist	Assist2	
Shannon, Musa	Tampa Bay Mutiny	Tampa Bay Mutiny	Veracruz - Mexico	12/6/1997	56		FDLY	Gilmar		
Shannon, Musa	Tampa Bay Mutiny	Tampa Bay Mutiny	IFK Gothenburg - Sweden	12/16/1997	29		FDLY	Hejduk, Frankie		
Keegan, Paul	New England Revolution	New England Revolution	Ikast - Denmark	2/21/1998	5		FDLY	Nakhid, David		
Jair	New England Revolution	New England Revolution	Ikast - Denmark	2/21/1998	13		FDLY	Rocha		
Torres, Johnny	New England Revolution	Tapatio - Mexico	New England Revolution	3/12/1998	40		FDLY	Dunseth, Brian		
Torres, Johnny	New England Revolution	Tapatio - Mexico	New England Revolution	3/12/1998	62		FDLY	Baba, Imad		
Wise, Evans	New England Revolution	Tapatio - Mexico	New England Revolution	3/12/1998	80		FDLY			
Diaz Arce, Raul	New England Revolution	Atlas - Mexico	New England Revolution	3/16/1998	86	Penalty	FDLY			
Mohammad	New England Revolution	Atlas - Mexico	New England Revolution	3/16/1998	27		FDLY	Torres, Johnny		
Gorter	New England Revolution	Atlas - Mexico	New England Revolution	3/16/1998	75		FDLY	Coye		
Baba, Imad	New England Revolution	Tecos - Mexico	New England Revolution	3/17/1998	0		FDLY			
Diaz Arce, Raul	New England Revolution	Tecos - Mexico	New England Revolution	3/17/1998	0		FDLY			
Baba, Imad	New England Revolution	Univ. de Guadalajara - Mexico	New England Revolution	3/24/1998	81		FDLY	Gorter		
Diaz Arce, Raul	New England Revolution	Univ. de Guadalajara - Mexico	New England Revolution	3/24/1998	80	Penalty	FDLY			
Torres, Johnny	New England Revolution	Univ. de Guadalajara - Mexico	New England Revolution	3/24/1998	83		FDLY			
Rocha	New England Revolution	New England Revolution	Benfica - Portugal	6/11/1998	53		FDLY	Gorter		
Cerritos, Ronald	San Jose Earthquakes	San Jose Earthquakes	CD Guadalajara Chivas - Mexico	5/5/1998	36		FDLY	Lewis, Eddie		
Kozic	Miami Fusion	Miami Fusion	Honduras	5/20/1998	85		FDLY	Vargas		
Kelderman, Kris	Miami Fusion	Miami Fusion	Honduras	5/20/1998	68		FDLY			
Stebbins	Miami Fusion	Miami Fusion	Honduras	5/20/1998	23		FDLY	Taylor		
Tamashiro	Miami Fusion	Miami Fusion	Honduras	5/20/1998	6		FDLY			
Sonora, Diego	MetroStars	MetroStars	Benfica - Portugal	6/9/1998	26	Penalty	FDLY			
