Player	Team-For	Home-Team	Away-Team	Date	Goal-Time	Goal-Type	Comp	Assist	Assist2	
Contreras-Coronado, Ernest	Laredo Heat	Laredo Heat	DFW Tornados	5/13/2006	57		LGE	Su, Steve		
Presas-Delgado, Arnoldo	Laredo Heat	Laredo Heat	DFW Tornados	5/13/2006	90		LGE	Downs, Jacob		
Stjepic, Igor	Nashville Metros	Nashville Metros	Atlanta Silverbacks U-23's	5/13/2006	36	Penalty	LGE			
Kinturi, Pasi	Nashville Metros	Nashville Metros	Atlanta Silverbacks U-23's	5/13/2006	45		LGE	Phetivhok, Mark		
Priestley, Damone	Atlanta Silverbacks U-23's	Nashville Metros	Atlanta Silverbacks U-23's	5/13/2006	80		LGE	Drummond, John		
Priestley, Damone	Atlanta Silverbacks U-23's	Nashville Metros	Atlanta Silverbacks U-23's	5/13/2006	90		LGE	Wyatt, Nick		
Hubbard, Marc	New Hampshire Phantoms	New Hampshire Phantoms	Wilmington Hammerheads	5/13/2006	90		LGE			
Bundy, Kenny	Wilmington Hammerheads	New Hampshire Phantoms	Wilmington Hammerheads	5/13/2006	89		LGE	Bagley, Christopher		
Weaver, William (Cameron)	Seattle Sounders	Seattle Sounders	Minnesota Thunder	5/13/2006	77		LGE	O'Brien, Leighton		
Wilson, Mike	Minnesota Thunder	Seattle Sounders	Minnesota Thunder	5/13/2006	75		LGE			
Colan, John	San Francisco Seals	San Francisco Seals	California Gold	5/13/2006	42	Penalty	LGE			
Milojevich, Jovan	San Francisco Seals	San Francisco Seals	California Gold	5/13/2006	66		LGE	Simpson, Shani		
Fitzgerald, Matthew D.	San Francisco Seals	San Francisco Seals	California Gold	5/13/2006	90		LGE	Milojevich, Jovan		
Mendoza-Magallo, Ulises	California Gold	San Francisco Seals	California Gold	5/13/2006	18		LGE	Sandoval, Martin		
Delicate, Matthew	Rochester Rhinos	Toronto Lynx	Rochester Rhinos	5/13/2006	15		LGE	Sanfillippo, Frankie		
Ball, John	Rochester Rhinos	Toronto Lynx	Rochester Rhinos	5/13/2006	66		LGE	Menyongar, John		
Mertens, Cameron	Yakima Reds	Yakima Reds	Abbotsford Rangers	5/13/2006	62		LGE			
Aziz, Mohammad	Abbotsford Rangers	Yakima Reds	Abbotsford Rangers	5/13/2006	29		LGE			
Wilson, Cameron	Abbotsford Rangers	Yakima Reds	Abbotsford Rangers	5/13/2006	34		LGE			
Schmidt, Spencer	Abbotsford Rangers	Yakima Reds	Abbotsford Rangers	5/13/2006	76	Penalty	LGE			
Cuero, Diego	Austin Lighting	Austin Lighting	DFW Tornados	5/12/2006	50		LGE			
Cuero, Diego	Austin Lighting	Austin Lighting	DFW Tornados	5/12/2006	53		LGE	Barletta, Giovanni		
Guadarrama, Sonny	Austin Lighting	Austin Lighting	DFW Tornados	5/12/2006	64		LGE	Barletta, Giovanni		
Da Silva, Paulo	DFW Tornados	Austin Lighting	DFW Tornados	5/12/2006	41	Penalty	LGE			
Needham, Jay	DFW Tornados	Austin Lighting	DFW Tornados	5/12/2006	65	Penalty	LGE			
Cervantes, Enrique Ivan	El Paso Patriots	El Paso Patriots	New Orleans Shell Shockers	5/12/2006	45	Penalty	LGE			
Mora-Gomez, Victor Omar	El Paso Patriots	El Paso Patriots	New Orleans Shell Shockers	5/12/2006	74		LGE	Villar, Lorenzo (Armando)		
Rowe, Taylor	Williamsburg Legacy	Reading Rage	Williamsburg Legacy	5/12/2006	53		LGE	Mackenzie, Ross		
Rowe, Taylor	Williamsburg Legacy	Reading Rage	Williamsburg Legacy	5/12/2006	64		LGE	Mackenzie, Ross		
Gil-Alzate, Oscar	Miami FC	Miami FC	Atlanta Silverbacks	5/14/2006	90		LGE	Oliveira-Filho, Crizam (Zinho)		
Sgueglia, Peter	Albany Admirals	Albany Admirals	Virginia Beach Submariners	5/12/2006	4		LGE			
Ashe, Corey	Virginia Beach Submariners	Albany Admirals	Virginia Beach Submariners	5/12/2006	37		LGE	Lima, Caetano		
Elcock, Edson	Virginia Beach Submariners	Albany Admirals	Virginia Beach Submariners	5/12/2006	90		LGE			
Ashe, Corey	Virginia Beach Submariners	Albany Admirals	Virginia Beach Submariners	5/12/2006	3		LGE			
Howerton, Darren	Rhode Island Stingrays	Brooklyn Knights	Rhode Island Stingrays	5/13/2006	57		LGE			
Holstein, Robert	Cocoa Expos	Cocoa Expos	Palm Beach Pumas	5/13/2006	65		LGE	Balc, Adrian		
Kelly, Jordan	Cocoa Expos	Cocoa Expos	Palm Beach Pumas	5/13/2006	55		LGE	Balc, Adrian		
Pizarro, Nelson	Cocoa Expos	Cocoa Expos	Palm Beach Pumas	5/13/2006	49		LGE			
Hupp, Charles (Mason)	Cocoa Expos	Cocoa Expos	Palm Beach Pumas	5/13/2006	35		LGE			
Morin, Rodrigo	El Paso Patriots	El Paso Patriots	New Orleans Shell Shockers	5/13/2006	15		LGE	Palacios, Esteban		
Frias, Daniel	El Paso Patriots	El Paso Patriots	New Orleans Shell Shockers	5/13/2006	62	Penalty	LGE			
