Competition: USL Premier Developmental League   
Season: 2008

Date: 4/26/2008
1500; New Hampshire Phantoms; 0-1; Ottawa Fury; Algonquin College Soccer Complex
1600; West Virginia Chaos; 2-2; Toronto Lynx; Centennial Stadium
1600; Thunder Bay Chill; 5-0; Kansas City Brass; William Jewell College
1700; Palm Beach Pumas; 0-5; Central Florida Kraze; Seminole Soccer Complex
1700; Southern California Seahorses; 0-0; San Francisco Seals; University of San Francisco
1730; Fredericksburg Gunners; 2-1; Reading Rage; Exeter High School
1800; San Fernando Valley Quakes; 2-0; San Jose Frogs; Lick High School
1800; Abbotsford Mariners; 0-0; Vancouver Whitecaps Residency; Simon Fraser University
1900; Indiana Invaders; 3-2; Kalamazoo Outrage; Mayors Riverfront Park Mayors Riverfront
1930; Newark Ironbound Express; 4-0; Ocean City Barons;  

Date: 6/17/2008
2100; BYU Cougars; 2-0; Ogden Outlaws; Ogden High School

Date: 6/18/2008
1800; Vermont Voltage; 2-5; Ottawa Fury; Algonquin College Soccer Complex
1900; Fort Wayne Fever; 1-1; West Michigan Edge; Kentwood High School
1900; New Jersey Rangers; 2-3; Long Island Rough Riders; Tully Park

Date: 6/19/2008
1730; Palm Beach Pumas; 0-10; Bradenton Academics; IMG Soccer Academy
1930; Cape Cod Crusaders; 2-0; New Hampshire Phantoms; Southern New Hampshire University
1930; Toronto Lynx; 1-0; Michigan Bucks; Ultimate Soccer Arenas
2200; Los Angeles Legends; 2-6; Fresno Fuego; Chukchansi Park
2205; Bakersfield Brigade; 1-1; San Fernando Valley Quakes; Pierce College

Date: 6/20/2008
1800; DFW Tornados; 0-2; Mississippi Brilla; Robert P. Longabaugh Stadium
1900; Indiana Invaders; 1-0; West Virginia Chaos; Schoenbaum Stadium
1930; St. Louis Lions; 0-3; Thunder Bay Chill; Chapples Park
1930; Atlanta Silverbacks U23's; 1-2; Carolina Dynamo; Macpherson Stadium
1930; Chicago Fire Premier; 0-0; Cincinnati Kings; Town & Country Sports Complex
1930; Central Florida Kraze; 3-2; Cary Clarets; WakeMed Soccer Park
2130; Laredo Heat; 1-2; El Paso Patriots; Patriot Stadium
2200; Orange County Blue Star; 2-4; Lancaster Rattlers; Pete Knight High School
2200; Ogden Outlaws; 0-1; Vancouver Whitecaps Residency; Simon Fraser University
2205; Spokane Spiders; 1-3; Tacoma Tide; Curtis High School
2230; San Francisco Seals; 2-3; Los Angeles Legends; A.P.U. - Cougar Stadium
2230; San Jose Frogs; 0-1; Ventura County Fusion; Newberry Park High School

Date: 6/21/2008
1500; Virginia Legacy; 1-2; Richmond Kickers Future; University of Richmond Stadium
1730; Ocean City Barons; 1-2; Westchester Flames; City Park Stadium
1730; Reading Rage; 1-0; Hampton Roads Piranhas; Virginia Wesleyan College
1800; New Orleans Jesters; 1-2; Mississippi Brilla; Robert P. Longabaugh Stadium
1900; Brooklyn Knights; 4-0; New Jersey Rangers; Morris Catholic High School
1900; Ottawa Fury; 4-1; Rhode Island Stingrays; Pierce Memorial
1900; Springfield Demize; 0-6; Colorado Rapids U-23; Pleasant View Field
1900; Chicago Fire Premier; 1-1; West Virginia Chaos; Schoenbaum Stadium
1900; Atlanta Silverbacks U23's; 2-3; Cary Clarets; WakeMed Soccer Park
