Date	Home-Team	Away-Team	For	Against	Attendance	Competition	Comp	Comments	Referee	Awarded	Round	Period	
7/2/1997	Montreal Impact	Toronto Lynx	1	0	3,865	League Game	LGE			As Scored	0	0	
7/3/1997	Colorado Foxes	California Jaguars	3	1	2,154	League Game	LGE			As Scored	0	0	
7/3/1997	Orlando Sundogs	El Paso Patriots	0	1	701	League Game	LGE			As Scored	0	0	
7/4/1997	Atlanta Ruckus	Orange County Zodiac	4	2	1,269	League Game	LGE			As Scored	0	0	
7/4/1997	Milwaukee Rampage	Seattle Sounders	1	2	2,877	League Game	LGE			As Scored	0	0	
7/4/1997	Minnesota Thunder	Nashville Metros	0	0	5,281	League Game	LGE	Nashville wins SO 2-1		As Scored	0	0	
7/4/1997	Raleigh Flyers	Charleston Battery	2	2	2,747	League Game	LGE	Charleston wins SO 4-1		As Scored	0	0	
7/4/1997	Rochester Rhinos	Montreal Impact	1	0	10,875	League Game	LGE			As Scored	0	0	
7/5/1997	Jacksonville Cyclones	Carolina Dynamo	0	3	1,708	League Game	LGE			As Scored	0	0	
7/5/1997	New Orleans Riverboat Gamblers	El Paso Patriots	3	0	1,076	League Game	LGE			As Scored	0	0	
7/5/1997	Toronto Lynx	Richmond Kickers	0	2	1,776	League Game	LGE			As Scored	0	0	
7/6/1997	Hershey Wildcats	Connecticut Wolves	3	1	2,943	League Game	LGE			As Scored	0	0	
7/6/1997	Long Island Rough Riders	Worcester Wildfire	2	1	3,371	League Game	LGE			As Scored	0	0	
7/6/1997	Minnesota Thunder	Seattle Sounders	1	0	1,165	League Game	LGE			As Scored	0	0	
7/6/1997	Montreal Impact	Rochester Rhinos	6	1	4,267	League Game	LGE			As Scored	0	0	
7/6/1997	Nashville Metros	Orange County Zodiac	6	1	2,123	League Game	LGE			As Scored	0	0	
7/9/1997	Montreal Impact	Richmond Kickers	1	0	5,823	League Game	LGE			As Scored	0	0	
7/9/1997	Vancouver 86ers	California Jaguars	2	0	3,452	League Game	LGE			As Scored	0	0	
7/11/1997	California Jaguars	Colorado Foxes	2	0	600	League Game	LGE			As Scored	0	0	
7/11/1997	El Paso Patriots	Vancouver 86ers	1	0	3,045	League Game	LGE			As Scored	0	0	
7/11/1997	Jacksonville Cyclones	Raleigh Flyers	1	4	1,278	League Game	LGE			As Scored	0	0	
7/11/1997	Milwaukee Rampage	Orange County Zodiac	2	1	3,481	League Game	LGE			As Scored	0	0	
7/11/1997	Orlando Sundogs	New Orleans Riverboat Gamblers	2	1	1,124	League Game	LGE			As Scored	0	0	
7/11/1997	Worcester Wildfire	Hershey Wildcats	2	1	1,097	League Game	LGE			As Scored	0	0	
7/12/1997	Atlanta Ruckus	Carolina Dynamo	1	2	1,964	League Game	LGE			As Scored	0	0	
7/12/1997	Charleston Battery	Raleigh Flyers	2	2	2,275	League Game	LGE	Charleston wins SO 2-0		As Scored	0	0	
7/12/1997	Minnesota Thunder	Orange County Zodiac	1	1	5,301	League Game	LGE			As Scored	0	0	
7/12/1997	Rochester Rhinos	Richmond Kickers	0	1	12,857	League Game	LGE			As Scored	0	0	
7/13/1997	Colorado Foxes	Vancouver 86ers	2	1	463	League Game	LGE			As Scored	0	0	
7/13/1997	Connecticut Wolves	Worcester Wildfire	2	1	2,056	League Game	LGE			As Scored	0	0	
7/13/1997	Hershey Wildcats	Toronto Lynx	1	0	3,322	League Game	LGE			As Scored	0	0	
7/13/1997	New Orleans Riverboat Gamblers	Orlando Sundogs	3	1	873	League Game	LGE			As Scored	0	0	
7/14/1997	Minnesota Thunder	Atlanta Ruckus	2	1	6,266	League Game	LGE			As Scored	0	0	
7/16/1997	Long Island Rough Riders	Rochester Rhinos	1	1	3,491	League Game	LGE	Long Island wins SO 3-2		As Scored	0	0	
7/16/1997	Montreal Impact	Raleigh Flyers	4	0	6,533	League Game	LGE			As Scored	0	0	
7/17/1997	Nashville Metros	Jacksonville Cyclones	5	0	1,840	League Game	LGE			As Scored	0	0	
7/18/1997	California Jaguars	Orlando Sundogs	0	1	850	League Game	LGE			As Scored	0	0	
7/18/1997	Carolina Dynamo	Toronto Lynx	2	0	2,106	League Game	LGE			As Scored	0	0	
7/18/1997	Richmond Kickers	Montreal Impact	1	2	1,661	League Game	LGE			As Scored	0	0	
7/18/1997	Rochester Rhinos	Hershey Wildcats	2	4	11,835	League Game	LGE			As Scored	0	0	
7/19/1997	El Paso Patriots	Colorado Foxes	0	2	1,638	League Game	LGE			As Scored	0	0	
7/19/1997	Milwaukee Rampage	Nashville Metros	0	0	3,873	League Game	LGE	Nashville wins SO 2-1		As Scored	0	0	
7/19/1997	New Orleans Riverboat Gamblers	Jacksonville Cyclones	3	0	1,479	League Game	LGE			As Scored	0	0	
7/19/1997	Raleigh Flyers	Toronto Lynx	1	0	2,026	League Game	LGE			As Scored	0	0	
7/19/1997	Worcester Wildfire	Connecticut Wolves	0	2	1,323	League Game	LGE			As Scored	0	0	
7/20/1997	Long Island Rough Riders	Connecticut Wolves	2	1	4,277	League Game	LGE			As Scored	0	0	
7/20/1997	Montreal Impact	Hershey Wildcats	2	4	6,421	League Game	LGE			As Scored	0	0	
7/20/1997	Orange County Zodiac	Orlando Sundogs	1	4	711	League Game	LGE			As Scored	0	0	
7/20/1997	Richmond Kickers	Charleston Battery	3	1	1,608	League Game	LGE			As Scored	0	0	
7/20/1997	Vancouver 86ers	Minnesota Thunder	0	1	3,408	League Game	LGE			As Scored	0	0	
7/25/1997	California Jaguars	Minnesota Thunder	3	0	100	League Game	LGE			As Scored	0	0	
7/25/1997	El Paso Patriots	Milwaukee Rampage	1	2	2,038	League Game	LGE			As Scored	0	0	
7/25/1997	Jacksonville Cyclones	Hershey Wildcats	1	4	1,460	League Game	LGE			As Scored	0	0	
7/25/1997	Montreal Impact	Long Island Rough Riders	4	3	6,257	League Game	LGE			As Scored	0	0	
7/25/1997	Nashville Metros	Orlando Sundogs	0	0	1,286	League Game	LGE	Nashville wins SO 2-1		As Scored	0	0	
7/25/1997	Toronto Lynx	Rochester Rhinos	1	1	1,488	League Game	LGE	Toronto wins SO 1-0		As Scored	0	0	
7/25/1997	Worcester Wildfire	Carolina Dynamo	2	3	1,211	League Game	LGE			As Scored	0	0	
7/26/1997	Charleston Battery	Hershey Wildcats	3	1	2,163	League Game	LGE			As Scored	0	0	
7/26/1997	Richmond Kickers	Connecticut Wolves	2	0	1,942	League Game	LGE			As Scored	0	0	
7/27/1997	Atlanta Ruckus	Orlando Sundogs	4	0	1,458	League Game	LGE			As Scored	0	0	
7/27/1997	Colorado Foxes	Milwaukee Rampage	1	2	753	League Game	LGE			As Scored	0	0	
7/27/1997	Connecticut Wolves	Carolina Dynamo	0	6	1,297	League Game	LGE			As Scored	0	0	
7/27/1997	Long Island Rough Riders	Rochester Rhinos	2	1	3,062	League Game	LGE			As Scored	0	0	
7/27/1997	New Orleans Riverboat Gamblers	El Paso Patriots	4	2	1,580	League Game	LGE			As Scored	0	0	
7/27/1997	Orange County Zodiac	Minnesota Thunder	1	2	950	League Game	LGE			As Scored	0	0	
7/27/1997	Seattle Sounders	California Jaguars	0	0	3,027	League Game	LGE	California wins SO 3-1		As Scored	0	0	
7/27/1997	Toronto Lynx	Montreal Impact	2	1	1,874	League Game	LGE			As Scored	0	0	
7/31/1997	Colorado Foxes	El Paso Patriots	2	1	675	League Game	LGE			As Scored	0	0	
8/1/1997	Atlanta Ruckus	Charleston Battery	1	0	4,896	League Game	LGE			As Scored	0	0	
8/1/1997	California Jaguars	Orange County Zodiac	1	3	350	League Game	LGE			As Scored	0	0	
