Date	Home-Team	Away-Team	For	Against	Attendance	Competition	Comp	Comments	Referee	Awarded	Round	Period	
5/20/1998	Tampa Bay Mutiny	Leicester City - England	0	0	6,102	Friendly	FDLY			As Scored	0	0	
6/9/1998	MetroStars	Benfica - Portugal	1	3	20,416	Friendly	FDLY			As Scored	0	0	
6/11/1998	New England Revolution	Benfica - Portugal	1	2	35,136	Friendly	FDLY			As Scored	0	0	
7/10/1998	San Jose Earthquakes	Morelia - Mexico	2	3	14,852	Friendly	FDLY			As Scored	0	0	
7/15/1998	Chicago Fire	UNAM - Mexico	1	0	28,716	Friendly	FDLY			As Scored	0	0	
11/18/1998	San Jose Earthquakes	Toluca - Mexico	0	2	0	Friendly	FDLY			As Scored	0	0	
11/22/1998	DC United	Central American Stars	2	1	13,093	Friendly	FDLY			As Scored	0	0	
12/5/1998	Manchester United - England	US Project 40	0	3	50	Friendly	FDLY			As Scored	0	0	
12/8/1998	Sheffield Wednesday - England	US Project 40	1	2	50	Friendly	FDLY			As Scored	0	0	
12/11/1998	Sunderland - England	US Project 40	0	1	50	Friendly	FDLY			As Scored	0	0	
12/16/1998	Everton - England	US Project 40	0	2	50	Friendly	FDLY			As Scored	0	0	
12/19/1998	Sheffield United - England	US Project 40	1	2	50	Friendly	FDLY			As Scored	0	0	
2/9/1999	Oro - Mexico	MetroStars	0	4	0	Friendly	FDLY			As Scored	0	0	
2/10/1999	Cruz Azul - Mexico	MetroStars	0	3	0	Friendly	FDLY			As Scored	0	0	
2/11/1999	CD Guadalajara Chivas - Mexico	Dallas Burn	1	3	0	Friendly	FDLY			As Scored	0	0	
2/11/1999	Cruz Azul - Mexico	MetroStars	1	3	0	Friendly	FDLY			As Scored	0	0	
2/14/1999	Miami Fusion	IBV - Iceland	0	2	0	Friendly	FDLY			As Scored	0	0	
2/14/1999	Atlas - Mexico	Dallas Burn	0	1	0	Friendly	FDLY			As Scored	0	0	
2/16/1999	Columbus Crew	IBV - Iceland	2	0	0	Friendly	FDLY			As Scored	0	0	
2/16/1999	Tapatio - Mexico	Dallas Burn	0	2	0	Friendly	FDLY			As Scored	0	0	
2/18/1999	CD Guadalajara Chivas - Mexico	MetroStars	2	2	0	Friendly	FDLY			As Scored	0	0	
2/18/1999	UAG - Mexico	Dallas Burn	3	2	0	Friendly	FDLY			As Scored	0	0	
2/21/1999	Aguila - El Salvador	Los Angeles Galaxy	1	1	0	Friendly	FDLY			As Scored	0	0	
2/21/1999	Univ. de Guadalajara - Mexico	Dallas Burn	2	4	0	Friendly	FDLY			As Scored	0	0	
2/22/1999	Miami Fusion	Lyngby - Denmark	3	4	0	Friendly	FDLY			As Scored	0	0	
2/23/1999	Jaguares - Mexico	Dallas Burn	2	0	0	Friendly	FDLY			As Scored	0	0	
2/24/1999	Miami Fusion	Stade Laussane - Switzerland	5	0	0	Friendly	FDLY			As Scored	0	0	
2/24/1999	Aguila - El Salvador	Los Angeles Galaxy	0	3	0	Friendly	FDLY			As Scored	0	0	
2/25/1999	Columbus Crew	Lyngby - Denmark	3	3	0	Friendly	FDLY			As Scored	0	0	
2/25/1999	New England Revolution	Modena - Italy	1	3	1	Friendly	FDLY			As Scored	0	0	
2/25/1999	Toluca - Mexico	San Jose Earthquakes	1	0	1	Friendly	FDLY			As Scored	0	0	
2/25/1999	Jaguares - Mexico	Chicago Fire	0	2	100	Friendly	FDLY			As Scored	0	0	
2/27/1999	Chicago Fire	Atlas - Mexico	1	2	100	Friendly	FDLY			As Scored	0	0	
2/28/1999	Atlas - Mexico	Los Angeles Galaxy	1	1	0	Friendly	FDLY			As Scored	0	0	
3/1/1999	Necaxa - Mexico	San Jose Earthquakes	0	1	0	Friendly	FDLY			As Scored	0	0	
3/1/1999	Univ. de Guadalajara - Mexico	Chicago Fire	2	1	0	Friendly	FDLY			As Scored	0	0	
3/2/1999	AD Limonense - Costa Rica	DC United	2	2	0	Friendly	FDLY			As Scored	0	0	
3/2/1999	Tijuana Chivas - Mexico	Kansas City Wizards	1	4	0	Friendly	FDLY			As Scored	0	0	
3/3/1999	UAG - Mexico	Chicago Fire	4	3	1	Friendly	FDLY			As Scored	0	0	
3/3/1999	Atlante - Mexico	San Jose Earthquakes	1	0	0	Friendly	FDLY			As Scored	0	0	
3/5/1999	Herediano - Costa Rica	DC United	5	0	100	Friendly	FDLY			As Scored	0	0	
3/5/1999	Gallos de Jalisco - Mexico	Los Angeles Galaxy	0	6	0	Friendly	FDLY			As Scored	0	0	
3/6/1999	Univ. de Guadalajara - Mexico	Kansas City Wizards	1	2	0	Friendly	FDLY			As Scored	0	0	
3/7/1999	Atlas - Mexico	Colorado Rapids	1	1	1	Friendly	FDLY			As Scored	0	0	
3/9/1999	Tapatio - Mexico	Colorado Rapids	0	2	1	Friendly	FDLY			As Scored	0	0	
3/9/1999	Jaguares - Mexico	Kansas City Wizards	0	4	0	Friendly	FDLY			As Scored	0	0	
3/9/1999	Puntarenas - Costa Rica	Tampa Bay Mutiny	0	1	0	Friendly	FDLY			As Scored	0	0	
3/10/1999	Atlas - Mexico	Kansas City Wizards	1	1	0	Friendly	FDLY			As Scored	0	0	
3/10/1999	Limon - Costa Rica	Tampa Bay Mutiny	1	1	0	Friendly	FDLY			As Scored	0	0	
3/11/1999	Jaguares - Mexico	Colorado Rapids	0	4	1	Friendly	FDLY			As Scored	0	0	
3/12/1999	Jalisco - Mexico	Los Angeles Galaxy	0	6	0	Friendly	FDLY			As Scored	0	0	
3/15/1999	Univ. de Guadalajara - Mexico	Colorado Rapids	0	5	1	Friendly	FDLY			As Scored	0	0	
3/30/1999	Bermuda NT	DC United	0	2	1	Friendly	FDLY			As Scored	0	0	
4/1/1999	Dallas Burn	Colima Jaguares - Mexico	3	1	0	Friendly	FDLY			As Scored	0	0	
6/10/1999	New England Revolution	Santa Clara - Portugal	0	3	0	Friendly	FDLY			As Scored	0	0	
6/16/1999	Chicago Fire	Legia-Daewoo Warsaw - Poland	3	2	10,255	Friendly	FDLY			As Scored	0	0	
7/20/1999	Chicago Fire	Derby County - England	1	0	8,355	Friendly	FDLY			As Scored	0	0	
7/21/1999	New England Revolution	Ajax - Netherlands	1	2	18,573	Friendly	FDLY			As Scored	0	0	
8/4/1999	Los Angeles Galaxy	CD Guadalajara Chivas - Mexico	3	1	0	Friendly	FDLY			As Scored	0	0	
8/25/1999	San Jose Earthquakes	UNAM - Mexico	2	3	10,687	Friendly	FDLY			As Scored	0	0	
9/22/1999	Miami Fusion	Haiti NT	1	0	1	Friendly	FDLY			As Scored	0	0	
9/22/1999	Tampa Bay Mutiny	Puerto Rico NT	11	0	0	Friendly	FDLY			As Scored	0	0	
2/24/2000	CD Guadalajara Chivas - Mexico	Chicago Fire	0	0	1	Friendly	FDLY			As Scored	0	0	
2/29/2000	CD Guadalajara Chivas - Mexico	New England Revolution	2	0	1	Friendly	FDLY			As Scored	0	0	
3/1/2000	CD Guadalajara Chivas - Mexico	New England Revolution	1	2	1	Friendly	FDLY			As Scored	0	0	
3/7/2000	Atlas - Mexico	New England Revolution	1	7	1	Friendly	FDLY			As Scored	0	0	
3/8/2000	Sporting Lisbon XI - Portugal	Colorado Rapids	3	1	100	Friendly	FDLY			As Scored	0	0	
3/9/2000	Tapatio - Mexico	New England Revolution	2	2	1	Friendly	FDLY			As Scored	0	0	
3/9/2000	Oro - Mexico	San Jose Earthquakes	1	1	100	Friendly	FDLY			As Scored	0	0	
3/13/2000	Atlas - Mexico	San Jose Earthquakes	0	3	100	Friendly	FDLY			As Scored	0	0	
4/18/2000	Miami Fusion	Haiti NT	2	1	1	Friendly	FDLY			As Scored	0	0	
4/26/2000	Los Angeles Galaxy	CD Guadalajara Chivas - Mexico	1	0	0	Friendly	FDLY			As Scored	0	0	
5/10/2000	Chicago Fire	Toluca - Mexico	3	3	13,257	Friendly	FDLY			As Scored	0	0	
5/24/2000	Columbus Crew	Hamburg SV - Germany	4	1	1	Friendly	FDLY			As Scored	0	0	
5/29/2000	Chicago Fire	Hamburg SV - Germany	5	1	9,786	Friendly	FDLY			As Scored	0	0	
7/8/2000	Tampa Bay Mutiny	Millonarios - Colombia	2	6	0	Friendly	FDLY			As Scored	0	0	
7/13/2000	Chicago Fire	CD Guadalajara Chivas - Mexico	0	1	22,260	Friendly	FDLY			As Scored	0	0	
7/18/2000	Colorado Rapids	CD Guadalajara Chivas - Mexico	0	3	23,971	Friendly	FDLY			As Scored	0	0	
7/22/2000	DC United	Newcastle United - England	3	1	17,000	Friendly	FDLY			As Scored	0	0	
7/26/2000	Columbus Crew	Newcastle United - England	2	2	18,212	Friendly	FDLY			As Scored	0	0	
10/25/2000	FC Salzburg - Austria	MetroStars	0	2	0	Friendly	FDLY			As Scored	0	0	
11/1/2000	Aguila - El Salvador	DC United	1	2	7,000	Friendly	FDLY			As Scored	0	0	
11/3/2000	Dallas Burn	Atlas - Mexico	2	0	1	Friendly	FDLY			As Scored	0	0	
11/3/2000	Luis Angel Firpo - El Salvador	DC United	2	1	2,000	Friendly	FDLY			As Scored	0	0	
11/5/2000	Alianza - El Salvador	DC United	0	1	10,000	Friendly	FDLY			As Scored	0	0	
11/6/2000	Dallas Burn	Bachilleres - Mexico	1	1	1	Friendly	FDLY			As Scored	0	0	
11/8/2000	Dallas Burn	CD Guadalajara Chivas - Mexico	0	1	1	Friendly	FDLY			As Scored	0	0	
12/10/2000	Los Angeles Galaxy	Puebla - Mexico	2	1	0	Friendly	FDLY			As Scored	0	0	
12/12/2000	Los Angeles Galaxy	Puebla - Mexico	1	0	1,812	Friendly	FDLY			As Scored	0	0	
12/13/2000	Necaxa - Mexico	San Jose Earthquakes	0	1	1	Friendly	FDLY			As Scored	0	0	
1/7/2001	Nacional de Tijuana - Mexico	Los Angeles Galaxy	1	2	100	Friendly	FDLY			As Scored	0	0	
1/11/2001	Nacional de Tijuana - Mexico	DC United	0	1	1	Friendly	FDLY			As Scored	0	0	
1/19/2001	Tampa Bay Mutiny	Celtic Glasgow - Scotland	2	2	2,917	Friendly	FDLY			As Scored	0	0	
1/20/2001	Miami Fusion	Glasgow Rangers - Scotland	1	4	5,487	Friendly	FDLY			As Scored	0	0	
2/10/2001	Santa Teresita FC -Costa Rica	New England Revolution	0	2	100	Friendly	FDLY			As Scored	0	0	
2/14/2001	Deportivo Belen - Costa Rica	New England Revolution	2	1	1	Friendly	FDLY			As Scored	0	0	
2/17/2001	MetroStars	Fylkir - Iceland	2	0	1	Friendly	FDLY			As Scored	0	0	
2/18/2001	San Lorenzo - Costa Rica	New England Revolution	1	2	1	Friendly	FDLY			As Scored	0	0	
2/23/2001	Millonarios - Colombia	Tampa Bay Mutiny	2	2	12,000	Friendly	FDLY			As Scored	0	0	
2/25/2001	Soacha FC - Colombia	Tampa Bay Mutiny	3	0	1	Friendly	FDLY			As Scored	0	0	
2/27/2001	Colorado Rapids	Sporting Lisbon XI - Portugal	0	1	3,000	Friendly	FDLY			As Scored	0	0	
3/24/2001	Dallas Burn	CD Guadalajara Chivas - Mexico	2	2	10,747	Friendly	FDLY			As Scored	0	0	
