Date	Home-Team	Away-Team	For	Against	Attendance	Competition	Comp	Comments	Referee	Awarded	Round	Period	
3/1/2007	Houston Dynamo	Puntarenas FC - Costa Rica	2	0	4,200	CONCACAF Champions Cup	CCC		Archundia, Benito	As Scored	0	0	
3/15/2007	DC United	CD Guadalajara -- Mexico	1	1	26,528	CONCACAF Champions Cup	CCC		Petrescu, Silviu	As Scored	0	0	
3/15/2007	Houston Dynamo	Pachuca-- Mexico	2	0	100	CONCACAF Champions Cup	CCC		Brizan, Neal	As Scored	0	0	
4/3/2007	CD Guadalajara -- Mexico	DC United	2	1	21,000	CONCACAF Champions Cup	CCC		Moreno, Roberto	As Scored	0	0	
4/5/2007	Pachuca-- Mexico	Houston Dynamo	5	2	32,000	CONCACAF Champions Cup	CCC		Navarro, Mauricio	As Scored	0	0	
11/4/2007	Harbour View FC -- Jamaica	Puerto Rico Islanders - USL	2	2	100	Caribbean Qualification	CQ		Bedeau, Valman	As Scored	0	0	
11/6/2007	HitachiCentre SAP FC - Antigua	Puerto Rico Islanders - USL	0	10	100	Caribbean Qualification	CQ		Small, Royon	As Scored	0	0	
11/8/2007	Inter Moengotapoe - Surinam	Puerto Rico Islanders - USL	2	5	4,000	Caribbean Qualification	CQ		Moreno, Roberto	As Scored	0	0	
11/11/2007	SV Leo Victor - Surinam	Puerto Rico Islanders - USL	1	7	500	Caribbean Qualification	CQ		Brizan, Neal	As Scored	0	0	
11/14/2007	Joe Public -- T & T	Puerto Rico Islanders - USL	1	0	100	Caribbean Qualification	CQ		Wijngaarde, Enrico	As Scored	0	0	
2/20/2008	Houston Dynamo	Sydney FC - Australia	3	0	15,128	Pan Pacific Championship	PPC		Prus, Alex	As Scored	0	0	
2/20/2008	Los Angeles Galaxy	Gamba Osaka - Japan	0	1	15,128	Pan Pacific Championship	PPC		Toledo, Baldomero	As Scored	0	0	
2/23/2008	Houston Dynamo	Gamba Osaka - Japan	1	6	23,087	Pan Pacific Championship	PPC		Stott, Kevin	As Scored	0	0	
2/23/2008	Los Angeles Galaxy	Sydney FC - Australia	2	1	23,087	Pan Pacific Championship	PPC		Hall, Brian	As Scored	0	0	
3/12/2008	CSD Municipal -- Guatemala	Houston Dynamo	0	0	100	CONCACAF Champions Cup	CCC		Rodriguez, Edgar	As Scored	0	0	
3/12/2008	Harbour View FC -- Jamaica	DC United	1	1	100	CONCACAF Champions Cup	CCC			As Scored	0	0	
3/18/2008	DC United	Harbour View FC -- Jamaica	5	0	12,394	CONCACAF Champions Cup	CCC		Arredondo, German	As Scored	0	0	
3/19/2008	Houston Dynamo	CSD Municipal -- Guatemala	3	1	14,348	CONCACAF Champions Cup	CCC		Morales, Mauricio	As Scored	0	0	
4/1/2008	Pachuca-- Mexico	DC United	2	0	100	CONCACAF Champions Cup	CCC			As Scored	0	0	
4/2/2008	Houston Dynamo	Deportivo Saprissa -Costa Rica	0	0	10,260	CONCACAF Champions Cup	CCC			As Scored	0	0	
4/9/2008	DC United	Pachuca-- Mexico	2	1	17,329	CONCACAF Champions Cup	CCC		Aguilar, Joel	As Scored	0	0	
4/9/2008	Deportivo Saprissa -Costa Rica	Houston Dynamo	3	0	20,500	CONCACAF Champions Cup	CCC		Rodriguez, Marco	As Scored	0	0	
5/9/2008	Puerto Rico Islanders - USL	San Juan Jabloteh -- T & T	1	0	100	Caribbean Qualification	CQ			As Scored	0	0	
5/25/2008	San Juan Jabloteh -- T & T	Puerto Rico Islanders - USL	0	0	100	CONCACAF Champions Cup	CCC	Puerto Rico wins 1-0 on agg. 	Wijngaarde, Enrico	As Scored	0	0	
