,"id","nm","makecoef.2500.","makecoef.5000.","makecoef.10000.","makecoef.20000.","makecoef.40000.","makecoef.80000."
207,278,"jacob-peterson",0.05,0.02,0,-0.01,-0.01,-0.01
768,665,"rafael-baca",-0.05,-0.03,-0.02,-0.01,-0.01,0
129,268,"dax-mccarty",-0.1,-0.07,-0.03,-0.01,0,0
600,262,"milton-rodriguez",-0.11,-0.06,-0.03,-0.01,0,0
154,473,"jarrod-smith",-0.06,-0.03,-0.02,-0.01,-0.01,0
108,468,"duilio-davino",-0.05,-0.03,-0.02,-0.01,-0.01,0
244,788,"jed-zayner",-0.07,-0.04,-0.02,-0.01,-0.01,0
252,920,"josh-tudela",-0.07,-0.04,-0.02,-0.01,-0.01,0
318,946,"gabriel-cichero",-0.08,-0.04,-0.02,-0.01,-0.01,0
620,305,"giovani-deiberson",-0.06,-0.04,-0.02,-0.01,-0.01,0
107,69,"kenny-cooper",0.07,0.02,0,-0.01,-0.01,-0.01
565,295,"devon-mc-tavish",0.04,0.01,-0.01,-0.01,-0.01,-0.01
158,394,"chris-leitch",-0.02,-0.01,-0.01,-0.01,-0.01,-0.01
116,540,"shavar-thomas",-0.14,-0.06,-0.03,-0.01,-0.01,0
143,450,"kenny-deuchar",-0.05,-0.04,-0.02,-0.01,-0.01,0
337,392,"eddie-lewis",-0.08,-0.05,-0.03,-0.01,0,0
204,469,"facundo-erpen",-0.13,-0.07,-0.03,-0.01,-0.01,0
330,927,"louis-crayton",-0.06,-0.04,-0.02,-0.01,-0.01,0
475,286,"jesus-andres-padilla-cisneros",-0.02,-0.02,-0.02,-0.01,-0.01,-0.01
189,639,"joey-franchino",-0.09,-0.05,-0.03,-0.01,-0.01,0
690,242,"diego-gonzalo-chaves",-0.07,-0.04,-0.03,-0.01,-0.01,0
387,223,"andrew-jacobson",-0.03,-0.03,-0.02,-0.01,-0.01,0
512,240,"tony-tchani",-0.03,-0.03,-0.02,-0.01,-0.01,-0.01
194,155,"alan-gordon",0.01,-0.01,-0.02,-0.01,-0.01,0
226,407,"guerreiro-andre-rocha",-0.06,-0.04,-0.02,-0.01,-0.01,0
769,700,"frank-rost",-0.09,-0.05,-0.03,-0.01,-0.01,0
93,310,"carl-robinson",-0.02,-0.02,-0.02,-0.01,-0.01,-0.01
